111	120	carcinoma
255	264	carcinoma
286	294	Oncology
498	507	carcinoma
779	788	carcinoma
1290	1299	carcinoma
1437	1446	carcinoma
1634	1643	localized
1644	1653	recurrent
1665	1674	carcinoma
1809	1818	carcinoma
1993	1999	cancer
2070	2079	carcinoma
2312	2321	carcinoma
1022	1037	frontal bossing
1100	1111	palmar pits
1168	1189	ectopic calcification
1974	1992	autosomal dominant
100	120	basal cell carcinoma
244	264	basal cell carcinoma
487	507	basal cell carcinoma
768	788	basal cell carcinoma
979	1000	basal cell carcinomas
1279	1299	basal cell carcinoma
1366	1387	basal cell carcinomas
1426	1446	basal cell carcinoma
1654	1674	basal cell carcinoma
1798	1818	basal cell carcinoma
2059	2079	basal cell carcinoma
2243	2264	basal cell carcinomas
2301	2321	basal cell carcinoma
