#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis type 2 (NF2) is a highly penetrant autosomal dominant condition predisposing affected individuals to schwannomas and meningiomas. The proportion of children presenting with meningioma or schwannoma who have NF2 is not well described, and neither is the mode of presentation in most children with the inherited disease.  To determine the frequency of childhood meningioma and schwannoma cases caused by NF2 and the mode of presentation.  The records of the Manchester Children's Tumour Registry from 1954 were searched for cases of meningioma and schwannoma. Paediatric presentation in a large UK series of NF2 was also studied.  18% (61/334) of patients with NF2 on the UK database presented in the paediatric age group (0-15 years), frequently with the symptoms of an isolated tumour. More than half had no family history to alert the clinician to their susceptibility. Three of 22 children presenting with a meningioma on the Manchester Children's Tumour Registry have gone on to develop classic features of NF2.  Clinicians should suspect NF2 in children presenting with meningioma, schwannoma, and skin features, such as neurofibromas/schwannomas, but fewer than 6 café au lait patches, who thus fall short of a diagnosis of neurofibromatosis type 1.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-22	type	_
1-5	23-24	2	_
1-7	25-26	(	_
1-8	26-29	NF2	_
1-9	29-30	)	_
1-11	31-33	is	_
1-13	34-35	a	_
1-15	36-42	highly	_
1-17	43-52	penetrant	_
1-19	53-62	autosomal	HPO[1]
1-21	63-71	dominant	HPO[1]
1-23	72-81	condition	_
1-25	82-94	predisposing	_
1-27	95-103	affected	_
1-29	104-115	individuals	_
1-31	116-118	to	_
1-33	119-130	schwannomas	HPO[2]
1-35	131-134	and	_
1-37	135-146	meningiomas	_
1-38	146-147	.	_
1-40	148-151	The	_
1-42	152-162	proportion	_
1-44	163-165	of	_
1-46	166-174	children	_
1-48	175-185	presenting	_
1-50	186-190	with	_
1-52	191-201	meningioma	HPO[3]
1-54	202-204	or	_
1-56	205-215	schwannoma	HPO[4]
1-58	216-219	who	_
1-60	220-224	have	_
1-62	225-228	NF2	_
1-64	229-231	is	_
1-66	232-235	not	_
1-68	236-240	well	_
1-70	241-250	described	_
1-71	250-251	,	_
1-73	252-255	and	_
1-75	256-263	neither	_
1-77	264-266	is	_
1-79	267-270	the	_
1-81	271-275	mode	_
1-83	276-278	of	_
1-85	279-291	presentation	_
1-87	292-294	in	_
1-89	295-299	most	_
1-91	300-308	children	_
1-93	309-313	with	_
1-95	314-317	the	_
1-97	318-327	inherited	_
1-99	328-335	disease	_
1-100	335-336	.	_
1-101	336-338	  	_
1-102	338-340	To	_
1-104	341-350	determine	_
1-106	351-354	the	_
1-108	355-364	frequency	HPO[5]
1-110	365-367	of	_
1-112	368-377	childhood	_
1-114	378-388	meningioma	HPO[6]
1-116	389-392	and	_
1-118	393-403	schwannoma	HPO[7]
1-120	404-409	cases	_
1-122	410-416	caused	_
1-124	417-419	by	_
1-126	420-423	NF2	_
1-128	424-427	and	_
1-130	428-431	the	_
1-132	432-436	mode	_
1-134	437-439	of	_
1-136	440-452	presentation	_
1-137	452-453	.	_
1-138	453-455	  	_
1-139	455-458	The	_
1-141	459-466	records	_
1-143	467-469	of	_
1-145	470-473	the	_
1-147	474-484	Manchester	_
1-149	485-493	Children	_
1-150	493-494	'	_
1-151	494-495	s	_
1-153	496-502	Tumour	HPO[8]
1-155	503-511	Registry	_
1-157	512-516	from	_
1-159	517-521	1954	_
1-161	522-526	were	_
1-163	527-535	searched	_
1-165	536-539	for	_
1-167	540-545	cases	_
1-169	546-548	of	_
1-171	549-559	meningioma	HPO[9]
1-173	560-563	and	_
1-175	564-574	schwannoma	HPO[10]
1-176	574-575	.	_
1-178	576-586	Paediatric	_
1-180	587-599	presentation	_
1-182	600-602	in	_
1-184	603-604	a	_
1-186	605-610	large	_
1-188	611-613	UK	_
1-190	614-620	series	_
1-192	621-623	of	_
1-194	624-627	NF2	_
1-196	628-631	was	_
1-198	632-636	also	_
1-200	637-644	studied	_
1-201	644-645	.	_
1-202	645-647	  	_
1-203	647-649	18	_
1-204	649-650	%	_
1-206	651-652	(	_
1-207	652-654	61	_
1-208	654-655	/	_
1-209	655-658	334	_
1-210	658-659	)	_
1-212	660-662	of	_
1-214	663-671	patients	_
1-216	672-676	with	_
1-218	677-680	NF2	_
1-220	681-683	on	_
1-222	684-687	the	_
1-224	688-690	UK	_
1-226	691-699	database	_
1-228	700-709	presented	_
1-230	710-712	in	_
1-232	713-716	the	_
1-234	717-727	paediatric	_
1-236	728-731	age	_
1-238	732-737	group	_
1-240	738-739	(	_
1-241	739-740	0	_
1-242	740-741	-	_
1-243	741-743	15	_
1-245	744-749	years	_
1-246	749-751	),	_
1-248	752-762	frequently	_
1-250	763-767	with	_
1-252	768-771	the	_
1-254	772-780	symptoms	_
1-256	781-783	of	_
1-258	784-786	an	_
1-260	787-795	isolated	_
1-262	796-802	tumour	HPO[11]
1-263	802-803	.	_
1-265	804-808	More	_
1-267	809-813	than	_
1-269	814-818	half	_
1-271	819-822	had	_
1-273	823-825	no	_
