#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Popliteal pterygium syndrome (PPS) is a rare autosomal dominant disorder, thought to occur with an incidence of approximately 1 in 300 000 live births. The main clinical manifestations are popliteal webbing, cleft lip, cleft palate, lower lip pits, syndactyly, and genital and nail anomalies. This report describes the clinical features in two families with PPS and one isolated case, showing the range of anomalies found both within and between the families. PPS has some features in common with Van der Woude syndrome (VWS), also inherited as an autosomal dominant condition, with cleft lip/palate and, more distinctively, lower lip pits. Although the gene for VWS has not yet been identified, it has been localised to within 1.6 cM in the region 1q32-41. To determine whether PPS and VWS represent allelic forms of the same gene, three families were genotyped for markers flanking and within the critical region. A multipoint lod score of 2.7 was obtained, with no evidence of recombination, supporting the hypothesis that these two disorders are allelic.
1-1	0-9	Popliteal	HPO[0]
1-3	10-19	pterygium	HPO[0]|HPO[1]
1-5	20-28	syndrome	_
1-7	29-30	(	_
1-8	30-33	PPS	_
1-9	33-34	)	_
1-11	35-37	is	_
1-13	38-39	a	_
1-15	40-44	rare	_
1-17	45-54	autosomal	HPO[2]
1-19	55-63	dominant	HPO[2]
1-21	64-72	disorder	_
1-22	72-73	,	_
1-24	74-81	thought	_
1-26	82-84	to	_
1-28	85-90	occur	_
1-30	91-95	with	_
1-32	96-98	an	_
1-34	99-108	incidence	_
1-36	109-111	of	_
1-38	112-125	approximately	_
1-40	126-127	1	_
1-42	128-130	in	_
1-44	131-134	300	_
1-46	135-138	000	_
1-48	139-143	live	_
1-50	144-150	births	_
1-51	150-151	.	_
1-53	152-155	The	_
1-55	156-160	main	_
1-57	161-169	clinical	_
1-59	170-184	manifestations	_
1-61	185-188	are	_
1-63	189-198	popliteal	_
1-65	199-206	webbing	_
1-66	206-207	,	_
1-68	208-213	cleft	HPO[3]
1-70	214-217	lip	HPO[3]
1-71	217-218	,	_
1-73	219-224	cleft	HPO[4]
1-75	225-231	palate	HPO[4]
1-76	231-232	,	_
1-78	233-238	lower	_
1-80	239-242	lip	_
1-82	243-247	pits	_
1-83	247-248	,	_
1-85	249-259	syndactyly	HPO[5]
1-86	259-260	,	_
1-88	261-264	and	_
1-90	265-272	genital	_
1-92	273-276	and	_
1-94	277-281	nail	_
1-96	282-291	anomalies	_
1-97	291-292	.	_
1-99	293-297	This	_
1-101	298-304	report	_
1-103	305-314	describes	_
1-105	315-318	the	_
1-107	319-327	clinical	_
1-109	328-336	features	_
1-111	337-339	in	_
1-113	340-343	two	_
1-115	344-352	families	_
1-117	353-357	with	_
1-119	358-361	PPS	_
1-121	362-365	and	_
1-123	366-369	one	_
1-125	370-378	isolated	_
1-127	379-383	case	_
1-128	383-384	,	_
1-130	385-392	showing	_
1-132	393-396	the	_
1-134	397-402	range	_
1-136	403-405	of	_
1-138	406-415	anomalies	_
1-140	416-421	found	_
1-142	422-426	both	_
1-144	427-433	within	_
1-146	434-437	and	_
1-148	438-445	between	_
1-150	446-449	the	_
1-152	450-458	families	_
1-153	458-459	.	_
1-155	460-463	PPS	_
1-157	464-467	has	_
1-159	468-472	some	_
1-161	473-481	features	_
1-163	482-484	in	_
1-165	485-491	common	_
1-167	492-496	with	_
1-169	497-500	Van	_
1-171	501-504	der	_
1-173	505-510	Woude	_
1-175	511-519	syndrome	_
1-177	520-521	(	_
