#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Brachydactyly type A-1 (BDA1) was, in 1903, the first recorded example of a human anomaly with Mendelian autosomal dominant inheritance. Two large families, the affected members of which were radiographed, were recruited in the study we describe here. Two-point linkage analysis for pedigree 1 (maximum LOD score [Zmax] 6.59 at recombination fraction [theta] 0.00) and for pedigree 2 (Zmax=5.53 at straight theta=0.00) mapped the locus for BDA1 in the two families to chromosome 2q. Haplotype analysis of pedigree 1 confined the locus for family 1 within an interval of <8.1 cM flanked by markers D2S2248 and D2S360, which was mapped to chromosome 2q35-q36 on the cytogenetic map. Haplotype analysis of pedigree 2 confined the locus for family 2 within an interval of <28. 8 cM flanked by markers GATA30E06 and D2S427, which was localized to chromosome 2q35-q37. The two families had no identical haplotype within the defined region, which suggests that the two families were not related.
1-1	0-13	Brachydactyly	HPO[0]
1-3	14-18	type	_
1-5	19-20	A	_
1-6	20-21	-	_
1-7	21-22	1	_
1-9	23-24	(	_
1-10	24-28	BDA1	_
1-11	28-29	)	_
1-13	30-33	was	_
1-14	33-34	,	_
1-16	35-37	in	_
1-18	38-42	1903	_
1-19	42-43	,	_
1-21	44-47	the	_
1-23	48-53	first	_
1-25	54-62	recorded	_
1-27	63-70	example	_
1-29	71-73	of	_
1-31	74-75	a	_
1-33	76-81	human	_
1-35	82-89	anomaly	_
1-37	90-94	with	_
1-39	95-104	Mendelian	_
1-41	105-114	autosomal	HPO[1]|HPO[2]
1-43	115-123	dominant	HPO[1]|HPO[2]
1-45	124-135	inheritance	HPO[2]|HPO[3]
1-46	135-136	.	_
1-48	137-140	Two	_
1-50	141-146	large	_
1-52	147-155	families	_
1-53	155-156	,	_
1-55	157-160	the	_
1-57	161-169	affected	_
1-59	170-177	members	_
1-61	178-180	of	_
1-63	181-186	which	_
1-65	187-191	were	_
1-67	192-204	radiographed	_
1-68	204-205	,	_
1-70	206-210	were	_
1-72	211-220	recruited	_
1-74	221-223	in	_
1-76	224-227	the	_
1-78	228-233	study	_
1-80	234-236	we	_
1-82	237-245	describe	_
1-84	246-250	here	_
1-85	250-251	.	_
1-87	252-255	Two	_
1-88	255-256	-	_
1-89	256-261	point	_
1-91	262-269	linkage	_
1-93	270-278	analysis	_
1-95	279-282	for	_
1-97	283-291	pedigree	_
1-99	292-293	1	_
1-101	294-295	(	_
1-102	295-302	maximum	_
1-104	303-306	LOD	_
1-106	307-312	score	_
1-108	313-314	[	_
1-109	314-318	Zmax	_
1-110	318-319	]	_
1-112	320-321	6	_
1-113	321-322	.	_
1-114	322-324	59	_
1-116	325-327	at	_
1-118	328-341	recombination	_
1-120	342-350	fraction	_
1-122	351-352	[	_
1-123	352-357	theta	_
1-124	357-358	]	_
1-126	359-360	0	_
1-127	360-361	.	_
1-128	361-363	00	_
1-129	363-364	)	_
1-131	365-368	and	_
1-133	369-372	for	_
1-135	373-381	pedigree	_
1-137	382-383	2	_
1-139	384-385	(	_
1-140	385-389	Zmax	_
1-141	389-390	=	_
1-142	390-391	5	_
1-143	391-392	.	_
1-144	392-394	53	_
1-146	395-397	at	_
1-148	398-406	straight	_
1-150	407-412	theta	_
1-151	412-413	=	_
1-152	413-414	0	_
1-153	414-415	.	_
1-154	415-417	00	_
1-155	417-418	)	_
1-157	419-425	mapped	_
1-159	426-429	the	_
1-161	430-435	locus	_
1-163	436-439	for	_
1-165	440-444	BDA1	_
1-167	445-447	in	_
1-169	448-451	the	_
1-171	452-455	two	_
1-173	456-464	families	_
1-175	465-467	to	_
1-177	468-478	chromosome	_
1-179	479-481	2q	_
1-180	481-482	.	_
1-182	483-492	Haplotype	_
1-184	493-501	analysis	_
1-186	502-504	of	_
1-188	505-513	pedigree	_
1-190	514-515	1	_
1-192	516-524	confined	_
1-194	525-528	the	_
1-196	529-534	locus	_
1-198	535-538	for	_
1-200	539-545	family	_
1-202	546-547	1	_
1-204	548-554	within	_
1-206	555-557	an	_
1-208	558-566	interval	_
1-210	567-569	of	_
1-212	570-571	<	_
1-213	571-572	8	_
1-214	572-573	.	_
1-215	573-574	1	_
1-217	575-577	cM	_
1-219	578-585	flanked	_
1-221	586-588	by	_
1-223	589-596	markers	_
1-225	597-604	D2S2248	_
1-227	605-608	and	_
1-229	609-615	D2S360	_
1-230	615-616	,	_
1-232	617-622	which	_
1-234	623-626	was	_
1-236	627-633	mapped	_
1-238	634-636	to	_
1-240	637-647	chromosome	_
1-242	648-652	2q35	_
1-243	652-653	-	_
1-244	653-656	q36	_
1-246	657-659	on	_
1-248	660-663	the	_
1-250	664-675	cytogenetic	_
1-252	676-679	map	_
1-253	679-680	.	_
1-255	681-690	Haplotype	_
1-257	691-699	analysis	_
1-259	700-702	of	_
1-261	703-711	pedigree	_
1-263	712-713	2	_
1-265	714-722	confined	_
1-267	723-726	the	_
1-269	727-732	locus	_
1-271	733-736	for	_
1-273	737-743	family	_
1-275	744-745	2	_
1-277	746-752	within	_
1-279	753-755	an	_
1-281	756-764	interval	_
1-283	765-767	of	_
1-285	768-769	<	_
1-286	769-771	28	_
1-287	771-772	.	_
1-289	773-774	8	_
1-291	775-777	cM	_
1-293	778-785	flanked	_
1-295	786-788	by	_
1-297	789-796	markers	_
1-299	797-806	GATA30E06	_
1-301	807-810	and	_
1-303	811-817	D2S427	_
1-304	817-818	,	_
1-306	819-824	which	_
1-308	825-828	was	_
1-310	829-838	localized	HPO[4]
1-312	839-841	to	_
1-314	842-852	chromosome	_
1-316	853-857	2q35	_
1-317	857-858	-	_
1-318	858-861	q37	_
1-319	861-862	.	_
1-321	863-866	The	_
1-323	867-870	two	_
1-325	871-879	families	_
1-327	880-883	had	_
1-329	884-886	no	_
1-331	887-896	identical	_
1-333	897-906	haplotype	_
1-335	907-913	within	_
1-337	914-917	the	_
1-339	918-925	defined	_
1-341	926-932	region	_
1-342	932-933	,	_
1-344	934-939	which	_
1-346	940-948	suggests	_
1-348	949-953	that	_
1-350	954-957	the	_
1-352	958-961	two	_
1-354	962-970	families	_
1-356	971-975	were	_
1-358	976-979	not	_
1-360	980-987	related	_
1-361	987-988	.	_
