#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Schwannomas in the skin are frequently observed in neurofibromatosis 2 patients. In about one-quarter of the cases, skin tumors are the first clinical symptoms of this disease. Recognizing neurofibromatosis-2-related skin tumors is therefore important for early diagnosis of neurofibromatosis 2, especially in pediatric patients. In this study, we examined 40 skin tumors (36 schwannomas and four neurofibromas) from 20 neurofibromatosis 2 patients for NF2 mutations and allelic loss. NF2 mutations have been identified in blood from 15 (75%) of the 20 patients. We found NF2 mutations in five (13%) and NF2 allelic loss in 18 (45%) of the 40 analyzed tumors. Genetic alterations (allelic loss or mutation) were thus found in 50 (63%) out of the total of 80 examined alleles. In 17 (43%) tumors, alterations were found on both NF2 alleles. These results suggest that, as in the case of vestibular schwannomas and meningiomas, loss of functional NF2 gene product is also the critical event in the development of skin schwannomas. Identification of genetic alterations of the NF2 gene in skin tumors may help to identify neurofibromatosis-2-associated skin tumors, thus assisting in the diagnosis of neurofibromatosis 2 in ambiguous cases, and excluding neurofibromatosis 1 in unclear cases. We also report that the detection rate of constitutional mutations was higher in patients with skin tumors (65%) than in patients without skin tumors (40%).
1-1	0-11	Schwannomas	HPO[0]
1-3	12-14	in	_
1-5	15-18	the	_
1-7	19-23	skin	_
1-9	24-27	are	_
1-11	28-38	frequently	_
1-13	39-47	observed	_
1-15	48-50	in	_
1-17	51-68	neurofibromatosis	HPO[1]
1-19	69-70	2	_
1-21	71-79	patients	_
1-22	79-80	.	_
1-24	81-83	In	_
1-26	84-89	about	_
1-28	90-93	one	_
1-29	93-94	-	_
1-30	94-101	quarter	_
1-32	102-104	of	_
1-34	105-108	the	_
1-36	109-114	cases	_
1-37	114-115	,	_
1-39	116-120	skin	HPO[2]
1-41	121-127	tumors	HPO[2]
1-43	128-131	are	_
1-45	132-135	the	_
1-47	136-141	first	_
1-49	142-150	clinical	_
1-51	151-159	symptoms	_
1-53	160-162	of	_
1-55	163-167	this	_
1-57	168-175	disease	_
1-58	175-176	.	_
1-60	177-188	Recognizing	_
1-62	189-206	neurofibromatosis	_
1-63	206-207	-	_
1-64	207-208	2	_
1-65	208-209	-	_
1-66	209-216	related	_
1-68	217-221	skin	HPO[3]
1-70	222-228	tumors	HPO[3]
1-72	229-231	is	_
1-74	232-241	therefore	_
1-76	242-251	important	_
1-78	252-255	for	_
1-80	256-261	early	_
1-82	262-271	diagnosis	_
1-84	272-274	of	_
1-86	275-292	neurofibromatosis	HPO[4]
1-88	293-294	2	_
1-89	294-295	,	_
1-91	296-306	especially	_
1-93	307-309	in	_
1-95	310-319	pediatric	_
1-97	320-328	patients	_
1-98	328-329	.	_
1-100	330-332	In	_
1-102	333-337	this	_
1-104	338-343	study	_
1-105	343-344	,	_
1-107	345-347	we	_
1-109	348-356	examined	_
1-111	357-359	40	_
1-113	360-364	skin	HPO[5]
1-115	365-371	tumors	HPO[5]
1-117	372-373	(	_
1-118	373-375	36	_
1-120	376-387	schwannomas	HPO[6]
1-122	388-391	and	_
1-124	392-396	four	_
1-126	397-410	neurofibromas	HPO[7]
1-127	410-411	)	_
1-129	412-416	from	_
1-131	417-419	20	_
1-133	420-437	neurofibromatosis	HPO[8]
1-135	438-439	2	_
1-137	440-448	patients	_
1-139	449-452	for	_
1-141	453-456	NF2	_
1-143	457-466	mutations	_
1-145	467-470	and	_
1-147	471-478	allelic	_
1-149	479-483	loss	_
1-150	483-484	.	_
1-152	485-488	NF2	_
1-154	489-498	mutations	_
1-156	499-503	have	_
1-158	504-508	been	_
1-160	509-519	identified	_
1-162	520-522	in	_
1-164	523-528	blood	_
1-166	529-533	from	_
1-168	534-536	15	_
1-170	537-538	(	_
1-171	538-540	75	_
1-172	540-542	%)	_
1-174	543-545	of	_
1-176	546-549	the	_
1-178	550-552	20	_
1-180	553-561	patients	_
1-181	561-562	.	_
1-183	563-565	We	_
1-185	566-571	found	_
1-187	572-575	NF2	_
1-189	576-585	mutations	_
1-191	586-588	in	_
1-193	589-593	five	_
1-195	594-595	(	_
1-196	595-597	13	_
1-197	597-599	%)	_
1-199	600-603	and	_
1-201	604-607	NF2	_
1-203	608-615	allelic	_
1-205	616-620	loss	_
1-207	621-623	in	_
1-209	624-626	18	_
1-211	627-628	(	_
1-212	628-630	45	_
1-213	630-632	%)	_
1-215	633-635	of	_
1-217	636-639	the	_
1-219	640-642	40	_
1-221	643-651	analyzed	_
1-223	652-658	tumors	_
1-224	658-659	.	_
1-226	660-667	Genetic	_
1-228	668-679	alterations	_
