#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Brachydactyly type A-1 (BDA-1; MIM 112500) is characterized by shortening or missing of the middle phalanges (Fig. 1a). It was first identified by Farabee in 1903 (ref. 2), is the first recorded example of a human anomaly with Mendelian autosomal-dominant inheritance and, as such, is cited in most genetic and biological textbooks. Here we show that mutations in IHH, which encodes Indian hedgehog, cause BDA-1. We have identified three heterozygous missense mutations in the region encoding the amino-terminal signaling domain in all affected members of three large, unrelated families. The three mutant amino acids, which are conserved across all vertebrates and invertebrates studied so far, are predicted to be adjacent on the surface of IHH.
1-1	0-13	Brachydactyly	HPO[0]
1-3	14-18	type	_
1-5	19-20	A	_
1-6	20-21	-	_
1-7	21-22	1	_
1-9	23-24	(	_
1-10	24-27	BDA	_
1-11	27-28	-	_
1-12	28-29	1	_
1-13	29-30	;	_
1-15	31-34	MIM	_
1-17	35-41	112500	_
1-18	41-42	)	_
1-20	43-45	is	_
1-22	46-59	characterized	_
1-24	60-62	by	_
1-26	63-73	shortening	_
1-28	74-76	or	_
1-30	77-84	missing	_
1-32	85-87	of	_
1-34	88-91	the	_
1-36	92-98	middle	_
1-38	99-108	phalanges	_
1-40	109-110	(	_
1-41	110-113	Fig	_
1-42	113-114	.	_
1-44	115-117	1a	_
1-45	117-119	).	_
1-47	120-122	It	_
1-49	123-126	was	_
1-51	127-132	first	_
1-53	133-143	identified	_
1-55	144-146	by	_
1-57	147-154	Farabee	_
1-59	155-157	in	_
1-61	158-162	1903	_
1-63	163-164	(	_
1-64	164-167	ref	_
1-65	167-168	.	_
1-67	169-170	2	_
1-68	170-172	),	_
1-70	173-175	is	_
1-72	176-179	the	_
1-74	180-185	first	_
1-76	186-194	recorded	_
1-78	195-202	example	_
1-80	203-205	of	_
1-82	206-207	a	_
1-84	208-213	human	_
1-86	214-221	anomaly	_
1-88	222-226	with	_
1-90	227-236	Mendelian	_
1-92	237-246	autosomal	_
1-93	246-247	-	_
1-94	247-255	dominant	_
1-96	256-267	inheritance	HPO[1]
1-98	268-271	and	_
1-99	271-272	,	_
1-101	273-275	as	_
1-103	276-280	such	_
1-104	280-281	,	_
1-106	282-284	is	_
1-108	285-290	cited	_
1-110	291-293	in	_
1-112	294-298	most	_
1-114	299-306	genetic	_
1-116	307-310	and	_
1-118	311-321	biological	_
1-120	322-331	textbooks	_
1-121	331-332	.	_
1-123	333-337	Here	_
1-125	338-340	we	_
1-127	341-345	show	_
1-129	346-350	that	_
1-131	351-360	mutations	_
1-133	361-363	in	_
1-135	364-367	IHH	_
1-136	367-368	,	_
1-138	369-374	which	_
1-140	375-382	encodes	_
1-142	383-389	Indian	_
1-144	390-398	hedgehog	_
1-145	398-399	,	_
1-147	400-405	cause	_
1-149	406-409	BDA	_
1-150	409-410	-	_
1-151	410-411	1	_
1-152	411-412	.	_
1-154	413-415	We	_
1-156	416-420	have	_
1-158	421-431	identified	_
1-160	432-437	three	_
1-162	438-450	heterozygous	_
1-164	451-459	missense	_
1-166	460-469	mutations	_
1-168	470-472	in	_
1-170	473-476	the	_
1-172	477-483	region	_
1-174	484-492	encoding	_
1-176	493-496	the	_
1-178	497-502	amino	_
1-179	502-503	-	_
1-180	503-511	terminal	_
1-182	512-521	signaling	_
1-184	522-528	domain	_
1-186	529-531	in	_
1-188	532-535	all	_
1-190	536-544	affected	_
1-192	545-552	members	_
1-194	553-555	of	_
1-196	556-561	three	_
1-198	562-567	large	_
1-199	567-568	,	_
1-201	569-578	unrelated	_
1-203	579-587	families	_
1-204	587-588	.	_
1-206	589-592	The	_
1-208	593-598	three	_
1-210	599-605	mutant	_
1-212	606-611	amino	_
1-214	612-617	acids	_
1-215	617-618	,	_
1-217	619-624	which	_
1-219	625-628	are	_
1-221	629-638	conserved	_
1-223	639-645	across	_
1-225	646-649	all	_
1-227	650-661	vertebrates	_
1-229	662-665	and	_
1-231	666-679	invertebrates	_
1-233	680-687	studied	_
1-235	688-690	so	_
1-237	691-694	far	_
1-238	694-695	,	_
1-240	696-699	are	_
1-242	700-709	predicted	_
1-244	710-712	to	_
1-246	713-715	be	_
1-248	716-724	adjacent	_
1-250	725-727	on	_
1-252	728-731	the	_
1-254	732-739	surface	_
1-256	740-742	of	_
1-258	743-746	IHH	_
1-259	746-747	.	_
