#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis type 2 (NF2) must be suspected in patients presenting with a unilateral vestibular schwannoma at a young age who are therefore at theoretical risk of developing bilateral disease. We identified 45 patients aged 30 years or less at the onset of symptoms of a unilateral vestibular schwannoma. Molecular genetic analysis of the NF2 gene was completed on peripheral blood samples in all 45 and on 28 tumour samples. No pathogenic NF2 mutations were identified in any of the blood samples. NF2 point mutations were identified in 21/28 (75%) tumour samples and loss of heterozygosity (LOH) in 21/28 (75%) tumour samples. Both mutational hits were identified in 18/28 (65%) tumour samples. In one multilobular tumour, one (presumably first hit) mutation was confirmed which was common to different foci of the tumour, while the second mutational event differed between foci. The molecular findings in this patient were consistent with somatic mosaicism for NF2 and the clinical diagnosis was confirmed with the presence of two meningiomas on a follow up MRI scan. A further patient developed a contralateral vestibular schwannoma on a follow up MRI scan in whom neither of the truncating mutations in the vestibular schwannoma were present in blood. It is important when counselling patients with unilateral vestibular schwannomas to identify (1) those at risk of bilateral disease, (2) those at risk of developing other tumours, and (3) other family members at risk of developing NF2. Comparing tumour and blood DNA cannot exclude mosaicism in the index case and cannot, therefore, be used to predict those at risk of developing further tumours. However, identification of both mutations or one mutation plus LOH in the tumour and exclusion of those mutations in the blood samples of the sibs or offspring of the affected case may be sufficient to render further screening unnecessary in these relatives.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-22	type	_
1-5	23-24	2	_
1-7	25-26	(	_
1-8	26-29	NF2	_
1-9	29-30	)	_
1-11	31-35	must	_
1-13	36-38	be	_
1-15	39-48	suspected	_
1-17	49-51	in	_
1-19	52-60	patients	_
1-21	61-71	presenting	_
1-23	72-76	with	_
1-25	77-78	a	_
1-27	79-89	unilateral	HPO[1]|HPO[2]
1-29	90-100	vestibular	HPO[2]|HPO[3]
1-31	101-111	schwannoma	HPO[2]|HPO[3]|HPO[4]
1-33	112-114	at	_
1-35	115-116	a	_
1-37	117-122	young	_
1-39	123-126	age	_
1-41	127-130	who	_
1-43	131-134	are	_
1-45	135-144	therefore	_
1-47	145-147	at	_
1-49	148-159	theoretical	_
1-51	160-164	risk	_
1-53	165-167	of	_
1-55	168-178	developing	_
1-57	179-188	bilateral	HPO[5]
1-59	189-196	disease	_
1-60	196-197	.	_
1-62	198-200	We	_
1-64	201-211	identified	_
1-66	212-214	45	_
1-68	215-223	patients	_
1-70	224-228	aged	_
1-72	229-231	30	_
1-74	232-237	years	_
1-76	238-240	or	_
1-78	241-245	less	_
1-80	246-248	at	_
1-82	249-252	the	_
1-84	253-258	onset	HPO[6]
1-86	259-261	of	_
1-88	262-270	symptoms	_
1-90	271-273	of	_
1-92	274-275	a	_
1-94	276-286	unilateral	HPO[7]|HPO[8]
1-96	287-297	vestibular	HPO[8]|HPO[9]
1-98	298-308	schwannoma	HPO[8]|HPO[9]|HPO[10]
1-99	308-309	.	_
1-101	310-319	Molecular	_
1-103	320-327	genetic	_
1-105	328-336	analysis	_
1-107	337-339	of	_
1-109	340-343	the	_
1-111	344-347	NF2	_
1-113	348-352	gene	_
1-115	353-356	was	_
1-117	357-366	completed	_
1-119	367-369	on	_
1-121	370-380	peripheral	HPO[11]
1-123	381-386	blood	_
1-125	387-394	samples	_
1-127	395-397	in	_
1-129	398-401	all	_
1-131	402-404	45	_
1-133	405-408	and	_
1-135	409-411	on	_
1-137	412-414	28	_
1-139	415-421	tumour	HPO[12]
1-141	422-429	samples	_
1-142	429-430	.	_
1-144	431-433	No	_
1-146	434-444	pathogenic	_
1-148	445-448	NF2	_
1-150	449-458	mutations	_
1-152	459-463	were	_
1-154	464-474	identified	_
1-156	475-477	in	_
1-158	478-481	any	_
1-160	482-484	of	_
1-162	485-488	the	_
1-164	489-494	blood	_
1-166	495-502	samples	_
1-167	502-503	.	_
1-169	504-507	NF2	_
1-171	508-513	point	_
1-173	514-523	mutations	_
1-175	524-528	were	_
1-177	529-539	identified	_
1-179	540-542	in	_
1-181	543-545	21	_
1-182	545-546	/	_
1-183	546-548	28	_
1-185	549-550	(	_
1-186	550-552	75	_
1-187	552-554	%)	_
1-189	555-561	tumour	HPO[13]
1-191	562-569	samples	_
1-193	570-573	and	_
1-195	574-578	loss	_
1-197	579-581	of	_
1-199	582-596	heterozygosity	_
1-201	597-598	(	_
1-202	598-601	LOH	_
1-203	601-602	)	_
1-205	603-605	in	_
1-207	606-608	21	_
1-208	608-609	/	_
1-209	609-611	28	_
1-211	612-613	(	_
1-212	613-615	75	_
1-213	615-617	%)	_
1-215	618-624	tumour	HPO[14]
1-217	625-632	samples	_
1-218	632-633	.	_
1-220	634-638	Both	_
1-222	639-649	mutational	_
1-224	650-654	hits	_
1-226	655-659	were	_
1-228	660-670	identified	_
1-230	671-673	in	_
1-232	674-676	18	_
1-233	676-677	/	_
1-234	677-679	28	_
1-236	680-681	(	_
1-237	681-683	65	_
