#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Brachydactyly type A1 (BDA1) was the first disorder described in terms of autosomal dominant Mendelian inheritance. Early in the 1900s Farabee and Drinkwater described a number of families with BDA1. Examination of two of Drinkwater's families has revealed that, although they are not known to be related, both share a common mutation within the Indian hedgehog gene ( IHH). This novel mutation is a guanine to adenine transition at nucleotide 298, resulting in an Asn100Asp amino acid substitution. Both families demonstrate significant intrafamilial phenotypic heterogeneity among the affected individuals. Examination of single nucleotide polymorphisms (SNP) has shown that the affected individuals in both families share SNPs within IHH consistent with that of a common founder. The identification of the same mutation in these families has answered a question that is nearly a century old about the genetic cause of their disease and supports the hypothesis that IHH plays a pivotal role in normal human skeletogenesis.
1-1	0-13	Brachydactyly	HPO[0]
1-3	14-18	type	_
1-5	19-21	A1	_
1-7	22-23	(	_
1-8	23-27	BDA1	_
1-9	27-28	)	_
1-11	29-32	was	_
1-13	33-36	the	_
1-15	37-42	first	_
1-17	43-51	disorder	_
1-19	52-61	described	_
1-21	62-64	in	_
1-23	65-70	terms	_
1-25	71-73	of	_
1-27	74-83	autosomal	HPO[1]
1-29	84-92	dominant	HPO[1]
1-31	93-102	Mendelian	_
1-33	103-114	inheritance	HPO[2]
1-34	114-115	.	_
1-36	116-121	Early	_
1-38	122-124	in	_
1-40	125-128	the	_
1-42	129-134	1900s	_
1-44	135-142	Farabee	_
1-46	143-146	and	_
1-48	147-157	Drinkwater	_
1-50	158-167	described	_
1-52	168-169	a	_
1-54	170-176	number	_
1-56	177-179	of	_
1-58	180-188	families	_
1-60	189-193	with	_
1-62	194-198	BDA1	_
1-63	198-199	.	_
1-65	200-211	Examination	_
1-67	212-214	of	_
1-69	215-218	two	_
1-71	219-221	of	_
1-73	222-232	Drinkwater	_
1-74	232-233	'	_
1-75	233-234	s	_
1-77	235-243	families	_
1-79	244-247	has	_
1-81	248-256	revealed	_
1-83	257-261	that	_
1-84	261-262	,	_
1-86	263-271	although	_
1-88	272-276	they	_
1-90	277-280	are	_
1-92	281-284	not	_
1-94	285-290	known	_
1-96	291-293	to	_
1-98	294-296	be	_
1-100	297-304	related	_
1-101	304-305	,	_
1-103	306-310	both	_
1-105	311-316	share	_
1-107	317-318	a	_
1-109	319-325	common	_
1-111	326-334	mutation	_
1-113	335-341	within	_
1-115	342-345	the	_
1-117	346-352	Indian	_
1-119	353-361	hedgehog	_
1-121	362-366	gene	_
1-123	367-368	(	_
1-125	369-372	IHH	_
1-126	372-374	).	_
1-128	375-379	This	_
1-130	380-385	novel	_
1-132	386-394	mutation	_
1-134	395-397	is	_
1-136	398-399	a	_
1-138	400-407	guanine	_
1-140	408-410	to	_
1-142	411-418	adenine	_
1-144	419-429	transition	_
1-146	430-432	at	_
1-148	433-443	nucleotide	_
1-150	444-447	298	_
1-151	447-448	,	_
1-153	449-458	resulting	_
1-155	459-461	in	_
1-157	462-464	an	_
1-159	465-474	Asn100Asp	_
1-161	475-480	amino	_
1-163	481-485	acid	_
1-165	486-498	substitution	_
1-166	498-499	.	_
1-168	500-504	Both	_
1-170	505-513	families	_
1-172	514-525	demonstrate	_
1-174	526-537	significant	_
1-176	538-551	intrafamilial	_
1-178	552-562	phenotypic	_
1-180	563-576	heterogeneity	HPO[3]
1-182	577-582	among	_
1-184	583-586	the	_
1-186	587-595	affected	_
1-188	596-607	individuals	_
1-189	607-608	.	_
1-191	609-620	Examination	_
1-193	621-623	of	_
1-195	624-630	single	_
1-197	631-641	nucleotide	_
1-199	642-655	polymorphisms	_
1-201	656-657	(	_
1-202	657-660	SNP	_
1-203	660-661	)	_
1-205	662-665	has	_
1-207	666-671	shown	_
1-209	672-676	that	_
1-211	677-680	the	_
1-213	681-689	affected	_
1-215	690-701	individuals	_
1-217	702-704	in	_
1-219	705-709	both	_
1-221	710-718	families	_
1-223	719-724	share	_
1-225	725-729	SNPs	_
1-227	730-736	within	_
1-229	737-740	IHH	_
1-231	741-751	consistent	_
1-233	752-756	with	_
1-235	757-761	that	_
1-237	762-764	of	_
1-239	765-766	a	_
1-241	767-773	common	_
1-243	774-781	founder	_
1-244	781-782	.	_
1-246	783-786	The	_
1-248	787-801	identification	_
1-250	802-804	of	_
1-252	805-808	the	_
1-254	809-813	same	_
1-256	814-822	mutation	_
1-258	823-825	in	_
1-260	826-831	these	_
1-262	832-840	families	_
1-264	841-844	has	_
1-266	845-853	answered	_
1-268	854-855	a	_
1-270	856-864	question	_
1-272	865-869	that	_
1-274	870-872	is	_
1-276	873-879	nearly	_
1-278	880-881	a	_
1-280	882-889	century	_
1-282	890-893	old	_
1-284	894-899	about	_
1-286	900-903	the	_
1-288	904-911	genetic	_
1-290	912-917	cause	_
1-292	918-920	of	_
1-294	921-926	their	_
1-296	927-934	disease	_
1-298	935-938	and	_
1-300	939-947	supports	_
1-302	948-951	the	_
1-304	952-962	hypothesis	_
1-306	963-967	that	_
1-308	968-971	IHH	_
1-310	972-977	plays	_
1-312	978-979	a	_
1-314	980-987	pivotal	_
1-316	988-992	role	_
1-318	993-995	in	_
1-320	996-1002	normal	_
1-322	1003-1008	human	_
1-324	1009-1023	skeletogenesis	_
1-325	1023-1024	.	_
