#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Brachydactyly type C (BDC) is characterized by shortening of the middle phalanges of the index, middle, and little finger with hyperphalangy, usually of the index and middle finger. Heterozygous mutations of the cartilage derived morphogenetic protein-1 (CDMP1) resulting in a loss of function have been reported in BDC. We here describe a large kindred with a semi-dominant form of BDC and pronounced ulnar deviation of the second and third digits. In this family a novel homozygous missense mutation was identified (517A > G) changing methionine to valine at amino acid position 173. The mutation is located within a highly conserved seven amino acid region of the prodomain of CDMP1. Hand radiographs of heterozygous mutation carriers showed mild shortening of the metacarpals IV and V; a finding confirmed by the analysis of their metacarpophalangeal profiles (MCPPs). The mutation described here points toward an important function of the prodomain for the folding, secretion, and availability of biologically active CDMP1.
1-1	0-13	Brachydactyly	HPO[0]
1-3	14-18	type	_
1-5	19-20	C	_
1-7	21-22	(	_
1-8	22-25	BDC	_
1-9	25-26	)	_
1-11	27-29	is	_
1-13	30-43	characterized	_
1-15	44-46	by	_
1-17	47-57	shortening	_
1-19	58-60	of	_
1-21	61-64	the	_
1-23	65-71	middle	_
1-25	72-81	phalanges	_
1-27	82-84	of	_
1-29	85-88	the	_
1-31	89-94	index	_
1-32	94-95	,	_
1-34	96-102	middle	_
1-35	102-103	,	_
1-37	104-107	and	_
1-39	108-114	little	_
1-41	115-121	finger	_
1-43	122-126	with	_
1-45	127-140	hyperphalangy	_
1-46	140-141	,	_
1-48	142-149	usually	_
1-50	150-152	of	_
1-52	153-156	the	_
1-54	157-162	index	_
1-56	163-166	and	_
1-58	167-173	middle	_
1-60	174-180	finger	_
1-61	180-181	.	_
1-63	182-194	Heterozygous	_
1-65	195-204	mutations	_
1-67	205-207	of	_
1-69	208-211	the	_
1-71	212-221	cartilage	_
1-73	222-229	derived	_
1-75	230-243	morphogenetic	_
1-77	244-251	protein	_
1-78	251-252	-	_
1-79	252-253	1	_
1-81	254-255	(	_
1-82	255-260	CDMP1	_
1-83	260-261	)	_
1-85	262-271	resulting	_
1-87	272-274	in	_
1-89	275-276	a	_
1-91	277-281	loss	_
1-93	282-284	of	_
1-95	285-293	function	_
1-97	294-298	have	_
1-99	299-303	been	_
1-101	304-312	reported	_
1-103	313-315	in	_
1-105	316-319	BDC	_
1-106	319-320	.	_
1-108	321-323	We	_
1-110	324-328	here	_
1-112	329-337	describe	_
1-114	338-339	a	_
1-116	340-345	large	_
1-118	346-353	kindred	_
1-120	354-358	with	_
1-122	359-360	a	_
1-124	361-365	semi	_
1-125	365-366	-	_
1-126	366-374	dominant	_
1-128	375-379	form	_
1-130	380-382	of	_
1-132	383-386	BDC	_
1-134	387-390	and	_
1-136	391-401	pronounced	_
1-138	402-407	ulnar	_
1-140	408-417	deviation	_
1-142	418-420	of	_
1-144	421-424	the	_
1-146	425-431	second	_
1-148	432-435	and	_
1-150	436-441	third	_
1-152	442-448	digits	_
1-153	448-449	.	_
1-155	450-452	In	_
1-157	453-457	this	_
1-159	458-464	family	_
1-161	465-466	a	_
1-163	467-472	novel	_
1-165	473-483	homozygous	_
1-167	484-492	missense	_
1-169	493-501	mutation	_
1-171	502-505	was	_
1-173	506-516	identified	_
1-175	517-518	(	_
1-176	518-522	517A	_
1-178	523-524	>	_
1-180	525-526	G	_
1-181	526-527	)	_
1-183	528-536	changing	_
1-185	537-547	methionine	_
1-187	548-550	to	_
1-189	551-557	valine	_
1-191	558-560	at	_
1-193	561-566	amino	_
1-195	567-571	acid	_
1-197	572-580	position	HPO[1]
1-199	581-584	173	_
1-200	584-585	.	_
1-202	586-589	The	_
1-204	590-598	mutation	_
1-206	599-601	is	_
1-208	602-609	located	_
1-210	610-616	within	_
1-212	617-618	a	_
1-214	619-625	highly	_
1-216	626-635	conserved	_
1-218	636-641	seven	_
1-220	642-647	amino	_
1-222	648-652	acid	_
1-224	653-659	region	_
1-226	660-662	of	_
1-228	663-666	the	_
1-230	667-676	prodomain	_
1-232	677-679	of	_
1-234	680-685	CDMP1	_
1-235	685-686	.	_
1-237	687-691	Hand	_
1-239	692-703	radiographs	_
1-241	704-706	of	_
1-243	707-719	heterozygous	_
1-245	720-728	mutation	_
1-247	729-737	carriers	_
1-249	738-744	showed	_
1-251	745-749	mild	HPO[2]
1-253	750-760	shortening	_
1-255	761-763	of	_
1-257	764-767	the	_
1-259	768-779	metacarpals	_
1-261	780-782	IV	_
1-263	783-786	and	_
1-265	787-788	V	_
1-266	788-789	;	_
1-268	790-791	a	_
1-270	792-799	finding	_
1-272	800-809	confirmed	_
1-274	810-812	by	_
1-276	813-816	the	_
1-278	817-825	analysis	_
1-280	826-828	of	_
1-282	829-834	their	_
1-284	835-854	metacarpophalangeal	_
1-286	855-863	profiles	_
1-288	864-865	(	_
1-289	865-870	MCPPs	_
1-290	870-872	).	_
1-292	873-876	The	_
1-294	877-885	mutation	_
1-296	886-895	described	_
1-298	896-900	here	_
1-300	901-907	points	_
1-302	908-914	toward	_
1-304	915-917	an	_
1-306	918-927	important	_
1-308	928-936	function	_
1-310	937-939	of	_
1-312	940-943	the	_
1-314	944-953	prodomain	_
1-316	954-957	for	_
1-318	958-961	the	_
1-320	962-969	folding	_
1-321	969-970	,	_
1-323	971-980	secretion	_
1-324	980-981	,	_
1-326	982-985	and	_
1-328	986-998	availability	_
1-330	999-1001	of	_
1-332	1002-1014	biologically	_
1-334	1015-1021	active	_
1-336	1022-1027	CDMP1	_
1-337	1027-1028	.	_
