#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis type 2 (NF2) is an autosomal dominant syndrome characterized by the development of vestibular schwannomas and other tumors of the nervous system, including cranial and spinal meningiomas, schwannomas, and ependymomas. The presence of bilateral vestibular schwannomas is sufficient for the diagnosis. Skin manifestations are less common than in neurofibromatosis type 1 (NF1; von Recklinghausen disease). The apparent clinical distinction between NF1 and NF2 has been confirmed at the level of the gene locus by linkage studies; the gene for NF1 maps to chromosome 17, whereas the gene for NF2 has been assigned (in a single family) to chromosome 22. To increase the precision of the genetic mapping of NF2 and to determine whether additional susceptibility loci exist, we have performed linkage analysis on 12 families with NF2 by using four polymorphic markers from chromosome 22 and a marker at the NF1 locus on chromosome 17. Our results confirm the assignment of the gene for NF2 to chromosome 22 and do not support the hypothesis of genetic heterogeneity. We believe that chromosome 22 markers can now be used for presymptomatic diagnosis in selected families. The NF2 gene is tightly linked to the D22S32 locus (maximum lod score 4.12; recombination fraction 0). A CA-repeat polymorphism at the CRYB2 locus was the most informative marker in our families (lod score 5.99), but because the observed recombination fraction between NF2 and CRYB2 was 10 cM, predictions using this marker will need to be interpreted with caution.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-22	type	_
1-5	23-24	2	_
1-7	25-26	(	_
1-8	26-29	NF2	_
1-9	29-30	)	_
1-11	31-33	is	_
1-13	34-36	an	_
1-15	37-46	autosomal	HPO[1]
1-17	47-55	dominant	HPO[1]
1-19	56-64	syndrome	_
1-21	65-78	characterized	_
1-23	79-81	by	_
1-25	82-85	the	_
1-27	86-97	development	_
1-29	98-100	of	_
1-31	101-111	vestibular	_
1-33	112-123	schwannomas	HPO[2]
1-35	124-127	and	_
1-37	128-133	other	_
1-39	134-140	tumors	_
1-41	141-143	of	_
1-43	144-147	the	_
1-45	148-155	nervous	_
1-47	156-162	system	_
1-48	162-163	,	_
1-50	164-173	including	_
1-52	174-181	cranial	_
1-54	182-185	and	_
1-56	186-192	spinal	_
1-58	193-204	meningiomas	_
1-59	204-205	,	_
1-61	206-217	schwannomas	HPO[3]
1-62	217-218	,	_
1-64	219-222	and	_
1-66	223-234	ependymomas	_
1-67	234-235	.	_
1-69	236-239	The	_
1-71	240-248	presence	_
1-73	249-251	of	_
1-75	252-261	bilateral	HPO[4]
1-77	262-272	vestibular	_
1-79	273-284	schwannomas	HPO[5]
1-81	285-287	is	_
1-83	288-298	sufficient	_
1-85	299-302	for	_
1-87	303-306	the	_
1-89	307-316	diagnosis	_
1-90	316-317	.	_
1-92	318-322	Skin	_
1-94	323-337	manifestations	_
1-96	338-341	are	_
1-98	342-346	less	_
1-100	347-353	common	_
1-102	354-358	than	_
1-104	359-361	in	_
1-106	362-379	neurofibromatosis	HPO[6]
1-108	380-384	type	_
1-110	385-386	1	_
1-112	387-388	(	_
1-113	388-391	NF1	_
1-114	391-392	;	_
1-116	393-396	von	_
1-118	397-411	Recklinghausen	_
1-120	412-419	disease	_
1-121	419-421	).	_
1-123	422-425	The	_
1-125	426-434	apparent	_
1-127	435-443	clinical	_
1-129	444-455	distinction	_
1-131	456-463	between	_
1-133	464-467	NF1	_
1-135	468-471	and	_
1-137	472-475	NF2	_
1-139	476-479	has	_
1-141	480-484	been	_
1-143	485-494	confirmed	_
1-145	495-497	at	_
1-147	498-501	the	_
1-149	502-507	level	_
1-151	508-510	of	_
1-153	511-514	the	_
1-155	515-519	gene	_
1-157	520-525	locus	_
1-159	526-528	by	_
1-161	529-536	linkage	_
1-163	537-544	studies	_
1-164	544-545	;	_
1-166	546-549	the	_
1-168	550-554	gene	_
1-170	555-558	for	_
1-172	559-562	NF1	_
1-174	563-567	maps	_
1-176	568-570	to	_
1-178	571-581	chromosome	_
1-180	582-584	17	_
1-181	584-585	,	_
1-183	586-593	whereas	_
1-185	594-597	the	_
1-187	598-602	gene	_
1-189	603-606	for	_
1-191	607-610	NF2	_
1-193	611-614	has	_
1-195	615-619	been	_
1-197	620-628	assigned	_
1-199	629-630	(	_
1-200	630-632	in	_
1-202	633-634	a	_
1-204	635-641	single	_
1-206	642-648	family	_
1-207	648-649	)	_
1-209	650-652	to	_
1-211	653-663	chromosome	_
1-213	664-666	22	_
1-214	666-667	.	_
1-216	668-670	To	_
1-218	671-679	increase	_
1-220	680-683	the	_
1-222	684-693	precision	_
1-224	694-696	of	_
1-226	697-700	the	_
1-228	701-708	genetic	_
1-230	709-716	mapping	_
1-232	717-719	of	_
1-234	720-723	NF2	_
1-236	724-727	and	_
1-238	728-730	to	_
1-240	731-740	determine	_
1-242	741-748	whether	_
1-244	749-759	additional	_
1-246	760-774	susceptibility	_
1-248	775-779	loci	_
1-250	780-785	exist	_
1-251	785-786	,	_
1-253	787-789	we	_
1-255	790-794	have	_
1-257	795-804	performed	_
1-259	805-812	linkage	_
1-261	813-821	analysis	_
1-263	822-824	on	_
