#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis 2 (NF2) is an autosomal dominant disease that is characterized by tumors on the vestibular branch of the VIII cranial nerve, but other types of nervous system tumors usually occur as well. Genotype-phenotype correlations are well documented for overall NF2 disease severity but have not been definitively evaluated for specific types of non-VIII nerve tumors. We evaluated genotype-phenotype correlations for various types of non-VIII nerve tumors in 406 patients from the population-based United Kingdom NF2 registry, using regression models with the additional covariates of current age and type of treatment center (specialty or nonspecialty). The models also permitted consideration of intrafamilial correlation. We found statistically significant genotype-phenotype correlations for intracranial meningiomas, spinal tumors, and peripheral nerve tumors. People with constitutional NF2 missense mutations, splice-site mutations, large deletions, or somatic mosaicism had significantly fewer tumors than did people with constitutional nonsense or frameshift NF2 mutations. In addition, there were significant intrafamilial correlations for intracranial meningiomas and spinal tumors, after adjustment for the type of constitutional NF2 mutation. The type of constitutional NF2 mutation is an important determinant of the number of NF2-associated intracranial meningiomas, spinal tumors, and peripheral nerve tumors.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-19	2	_
1-5	20-21	(	_
1-6	21-24	NF2	_
1-7	24-25	)	_
1-9	26-28	is	_
1-11	29-31	an	_
1-13	32-41	autosomal	HPO[1]
1-15	42-50	dominant	HPO[1]
1-17	51-58	disease	_
1-19	59-63	that	_
1-21	64-66	is	_
1-23	67-80	characterized	_
1-25	81-83	by	_
1-27	84-90	tumors	_
1-29	91-93	on	_
1-31	94-97	the	_
1-33	98-108	vestibular	_
1-35	109-115	branch	_
1-37	116-118	of	_
1-39	119-122	the	_
1-41	123-127	VIII	_
1-43	128-135	cranial	_
1-45	136-141	nerve	_
1-46	141-142	,	_
1-48	143-146	but	_
1-50	147-152	other	_
1-52	153-158	types	_
1-54	159-161	of	_
1-56	162-169	nervous	_
1-58	170-176	system	_
1-60	177-183	tumors	_
1-62	184-191	usually	_
1-64	192-197	occur	_
1-66	198-200	as	_
1-68	201-205	well	_
1-69	205-206	.	_
1-71	207-215	Genotype	_
1-72	215-216	-	_
1-73	216-225	phenotype	_
1-75	226-238	correlations	_
1-77	239-242	are	_
1-79	243-247	well	_
1-81	248-258	documented	_
1-83	259-262	for	_
1-85	263-270	overall	_
1-87	271-274	NF2	_
1-89	275-282	disease	_
1-91	283-291	severity	HPO[2]
1-93	292-295	but	_
1-95	296-300	have	_
1-97	301-304	not	_
1-99	305-309	been	_
1-101	310-322	definitively	_
1-103	323-332	evaluated	_
1-105	333-336	for	_
1-107	337-345	specific	_
1-109	346-351	types	_
1-111	352-354	of	_
1-113	355-358	non	_
1-114	358-359	-	_
1-115	359-363	VIII	_
1-117	364-369	nerve	_
1-119	370-376	tumors	_
1-120	376-377	.	_
1-122	378-380	We	_
1-124	381-390	evaluated	_
1-126	391-399	genotype	_
1-127	399-400	-	_
1-128	400-409	phenotype	_
1-130	410-422	correlations	_
1-132	423-426	for	_
1-134	427-434	various	_
1-136	435-440	types	_
1-138	441-443	of	_
1-140	444-447	non	_
1-141	447-448	-	_
1-142	448-452	VIII	_
1-144	453-458	nerve	_
1-146	459-465	tumors	_
1-148	466-468	in	_
1-150	469-472	406	_
1-152	473-481	patients	_
1-154	482-486	from	_
1-156	487-490	the	_
1-158	491-501	population	_
1-159	501-502	-	_
1-160	502-507	based	_
1-162	508-514	United	_
1-164	515-522	Kingdom	_
1-166	523-526	NF2	_
1-168	527-535	registry	_
1-169	535-536	,	_
1-171	537-542	using	_
1-173	543-553	regression	_
1-175	554-560	models	_
1-177	561-565	with	_
1-179	566-569	the	_
1-181	570-580	additional	_
1-183	581-591	covariates	_
1-185	592-594	of	_
1-187	595-602	current	_
1-189	603-606	age	_
1-191	607-610	and	_
1-193	611-615	type	_
1-195	616-618	of	_
1-197	619-628	treatment	_
1-199	629-635	center	_
1-201	636-637	(	_
1-202	637-646	specialty	_
1-204	647-649	or	_
1-206	650-662	nonspecialty	_
1-207	662-664	).	_
1-209	665-668	The	_
1-211	669-675	models	_
1-213	676-680	also	_
1-215	681-690	permitted	_
1-217	691-704	consideration	_
1-219	705-707	of	_
1-221	708-721	intrafamilial	_
1-223	722-733	correlation	_
1-224	733-734	.	_
1-226	735-737	We	_
1-228	738-743	found	_
1-230	744-757	statistically	_
1-232	758-769	significant	_
1-234	770-778	genotype	_
1-235	778-779	-	_
1-236	779-788	phenotype	_
1-238	789-801	correlations	_
1-240	802-805	for	_
1-242	806-818	intracranial	_
1-244	819-830	meningiomas	_
1-245	830-831	,	_
1-247	832-838	spinal	HPO[3]
1-249	839-845	tumors	HPO[3]
1-250	845-846	,	_
1-252	847-850	and	_
1-254	851-861	peripheral	HPO[4]
1-256	862-867	nerve	_
1-258	868-874	tumors	_
1-259	874-875	.	_
1-261	876-882	People	_
1-263	883-887	with	_
1-265	888-902	constitutional	_
1-267	903-906	NF2	_
1-269	907-915	missense	_
1-271	916-925	mutations	_
1-272	925-926	,	_
1-274	927-933	splice	_
1-275	933-934	-	_
1-276	934-938	site	_
1-278	939-948	mutations	_
1-279	948-949	,	_
1-281	950-955	large	_
1-283	956-965	deletions	_
1-284	965-966	,	_
1-286	967-969	or	_
1-288	970-977	somatic	HPO[5]
1-290	978-987	mosaicism	HPO[5]
1-292	988-991	had	_
1-294	992-1005	significantly	_
1-296	1006-1011	fewer	_
1-298	1012-1018	tumors	_
1-300	1019-1023	than	_
1-302	1024-1027	did	_
1-304	1028-1034	people	_
1-306	1035-1039	with	_
1-308	1040-1054	constitutional	_
1-310	1055-1063	nonsense	_
1-312	1064-1066	or	_
1-314	1067-1077	frameshift	_
1-316	1078-1081	NF2	_
1-318	1082-1091	mutations	_
1-319	1091-1092	.	_
1-321	1093-1095	In	_
1-323	1096-1104	addition	_
1-324	1104-1105	,	_
1-326	1106-1111	there	_
1-328	1112-1116	were	_
1-330	1117-1128	significant	_
1-332	1129-1142	intrafamilial	_
1-334	1143-1155	correlations	_
1-336	1156-1159	for	_
1-338	1160-1172	intracranial	_
1-340	1173-1184	meningiomas	_
1-342	1185-1188	and	_
1-344	1189-1195	spinal	HPO[6]
1-346	1196-1202	tumors	HPO[6]
1-347	1202-1203	,	_
1-349	1204-1209	after	_
1-351	1210-1220	adjustment	_
1-353	1221-1224	for	_
1-355	1225-1228	the	_
1-357	1229-1233	type	_
1-359	1234-1236	of	_
1-361	1237-1251	constitutional	_
1-363	1252-1255	NF2	_
1-365	1256-1264	mutation	_
1-366	1264-1265	.	_
1-368	1266-1269	The	_
1-370	1270-1274	type	_
1-372	1275-1277	of	_
1-374	1278-1292	constitutional	_
1-376	1293-1296	NF2	_
1-378	1297-1305	mutation	_
1-380	1306-1308	is	_
1-382	1309-1311	an	_
1-384	1312-1321	important	_
1-386	1322-1333	determinant	_
1-388	1334-1336	of	_
1-390	1337-1340	the	_
1-392	1341-1347	number	_
1-394	1348-1350	of	_
1-396	1351-1354	NF2	_
1-397	1354-1355	-	_
1-398	1355-1365	associated	_
1-400	1366-1378	intracranial	_
1-402	1379-1390	meningiomas	_
1-403	1390-1391	,	_
1-405	1392-1398	spinal	HPO[7]
1-407	1399-1405	tumors	HPO[7]
1-408	1405-1406	,	_
1-410	1407-1410	and	_
1-412	1411-1421	peripheral	HPO[8]
1-414	1422-1427	nerve	_
1-416	1428-1434	tumors	_
1-417	1434-1435	.	_
