#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis 2 (NF2) patients with constitutional splice site NF2 mutations have greater variability in disease severity than NF2 patients with other types of mutations; the cause of this variability is unknown. We evaluated genotype-phenotype correlations, with particular focus on the location of splice site mutations, using mutation and clinical information on 831 patients from 528 NF2 families with identified constitutional NF2 mutations. The clinical characteristics examined were age at onset of symptoms of NF2 and number of intracranial meningiomas, which are the primary indices of the severity of NF2. Two regression models were used to analyse genotype-phenotype correlations. People with splice site mutations in exons 1-5 had more severe disease than those with splice site mutations in exons 11-15. This result is compatible with studies showing that exons 2 and 3 are required for self-association of the amino terminal of the NF2 protein in vitro, and that deletions of exons 2 and 3 in transgenic and knockout mouse models of NF2 cause a high prevalence of Schwann cell derived tumours.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-19	2	_
1-5	20-21	(	_
1-6	21-24	NF2	_
1-7	24-25	)	_
1-9	26-34	patients	_
1-11	35-39	with	_
1-13	40-54	constitutional	_
1-15	55-61	splice	_
1-17	62-66	site	_
1-19	67-70	NF2	_
1-21	71-80	mutations	_
1-23	81-85	have	_
1-25	86-93	greater	_
1-27	94-105	variability	_
1-29	106-108	in	_
1-31	109-116	disease	_
1-33	117-125	severity	HPO[1]
1-35	126-130	than	_
1-37	131-134	NF2	_
1-39	135-143	patients	_
1-41	144-148	with	_
1-43	149-154	other	_
1-45	155-160	types	_
1-47	161-163	of	_
1-49	164-173	mutations	_
1-50	173-174	;	_
1-52	175-178	the	_
1-54	179-184	cause	_
1-56	185-187	of	_
1-58	188-192	this	_
1-60	193-204	variability	_
1-62	205-207	is	_
1-64	208-215	unknown	_
1-65	215-216	.	_
1-67	217-219	We	_
1-69	220-229	evaluated	_
1-71	230-238	genotype	_
1-72	238-239	-	_
1-73	239-248	phenotype	_
1-75	249-261	correlations	_
1-76	261-262	,	_
1-78	263-267	with	_
1-80	268-278	particular	_
1-82	279-284	focus	_
1-84	285-287	on	_
1-86	288-291	the	_
1-88	292-300	location	_
1-90	301-303	of	_
1-92	304-310	splice	_
1-94	311-315	site	_
1-96	316-325	mutations	_
1-97	325-326	,	_
1-99	327-332	using	_
1-101	333-341	mutation	_
1-103	342-345	and	_
1-105	346-354	clinical	_
1-107	355-366	information	_
1-109	367-369	on	_
1-111	370-373	831	_
1-113	374-382	patients	_
1-115	383-387	from	_
1-117	388-391	528	_
1-119	392-395	NF2	_
1-121	396-404	families	_
1-123	405-409	with	_
1-125	410-420	identified	_
1-127	421-435	constitutional	_
1-129	436-439	NF2	_
1-131	440-449	mutations	_
1-132	449-450	.	_
1-134	451-454	The	_
1-136	455-463	clinical	_
1-138	464-479	characteristics	_
1-140	480-488	examined	_
1-142	489-493	were	_
1-144	494-497	age	_
1-146	498-500	at	_
1-148	501-506	onset	HPO[2]
1-150	507-509	of	_
1-152	510-518	symptoms	_
1-154	519-521	of	_
1-156	522-525	NF2	_
1-158	526-529	and	_
1-160	530-536	number	_
1-162	537-539	of	_
1-164	540-552	intracranial	_
1-166	553-564	meningiomas	_
1-167	564-565	,	_
1-169	566-571	which	_
1-171	572-575	are	_
1-173	576-579	the	_
1-175	580-587	primary	_
1-177	588-595	indices	_
1-179	596-598	of	_
1-181	599-602	the	_
1-183	603-611	severity	HPO[3]
1-185	612-614	of	_
1-187	615-618	NF2	_
1-188	618-619	.	_
1-190	620-623	Two	_
1-192	624-634	regression	_
1-194	635-641	models	_
1-196	642-646	were	_
1-198	647-651	used	_
1-200	652-654	to	_
1-202	655-662	analyse	_
1-204	663-671	genotype	_
1-205	671-672	-	_
1-206	672-681	phenotype	_
1-208	682-694	correlations	_
1-209	694-695	.	_
1-211	696-702	People	_
1-213	703-707	with	_
1-215	708-714	splice	_
1-217	715-719	site	_
1-219	720-729	mutations	_
1-221	730-732	in	_
1-223	733-738	exons	_
1-225	739-740	1	_
1-226	740-741	-	_
1-227	741-742	5	_
1-229	743-746	had	_
1-231	747-751	more	_
1-233	752-758	severe	HPO[4]
1-235	759-766	disease	_
1-237	767-771	than	_
1-239	772-777	those	_
1-241	778-782	with	_
1-243	783-789	splice	_
1-245	790-794	site	_
1-247	795-804	mutations	_
1-249	805-807	in	_
1-251	808-813	exons	_
1-253	814-816	11	_
1-254	816-817	-	_
1-255	817-819	15	_
1-256	819-820	.	_
1-258	821-825	This	_
1-260	826-832	result	_
1-262	833-835	is	_
1-264	836-846	compatible	_
1-266	847-851	with	_
1-268	852-859	studies	_
1-270	860-867	showing	_
1-272	868-872	that	_
1-274	873-878	exons	_
1-276	879-880	2	_
1-278	881-884	and	_
1-280	885-886	3	_
1-282	887-890	are	_
1-284	891-899	required	_
1-286	900-903	for	_
1-288	904-908	self	_
1-289	908-909	-	_
1-290	909-920	association	_
1-292	921-923	of	_
1-294	924-927	the	_
1-296	928-933	amino	_
1-298	934-942	terminal	_
1-300	943-945	of	_
1-302	946-949	the	_
1-304	950-953	NF2	_
1-306	954-961	protein	_
1-308	962-964	in	_
1-310	965-970	vitro	_
1-311	970-971	,	_
1-313	972-975	and	_
1-315	976-980	that	_
1-317	981-990	deletions	_
1-319	991-993	of	_
1-321	994-999	exons	_
1-323	1000-1001	2	_
1-325	1002-1005	and	_
1-327	1006-1007	3	_
1-329	1008-1010	in	_
1-331	1011-1021	transgenic	_
1-333	1022-1025	and	_
1-335	1026-1034	knockout	_
1-337	1035-1040	mouse	_
1-339	1041-1047	models	_
1-341	1048-1050	of	_
1-343	1051-1054	NF2	_
1-345	1055-1060	cause	_
1-347	1061-1062	a	_
1-349	1063-1067	high	_
1-351	1068-1078	prevalence	_
1-353	1079-1081	of	_
1-355	1082-1089	Schwann	_
1-357	1090-1094	cell	_
1-359	1095-1102	derived	_
1-361	1103-1110	tumours	_
1-362	1110-1111	.	_
