#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Brachydactyly type A1 (BDA1) is caused by mutations in the Indian hedgehog gene, IHH, on chromosome 2q35-36. In this study, a large five-generation Chinese family with BDA1 was identified and characterized. All affected family members demonstrated significant homogeneous phenotype and some unique clinical features different from those associated with the reported BDA1 mutations in IHH. Linkage analysis showed that the BDA1 gene in the family was linked to marker D2S126 close to IHH with a LOD score of 4.74 at a recombination fraction of 0. DNA sequence analysis revealed a heterozygous C to T transition at nucleotide 461 of IHH, resulting in a novel T154I substitution. The T154I mutation co-segregated with all affected individuals in the family, and was not present in normal family members or 200 normal controls. These results expand the spectrum of clinical phenotype associated with IHH mutations.
1-1	0-13	Brachydactyly	HPO[0]
1-3	14-18	type	_
1-5	19-21	A1	_
1-7	22-23	(	_
1-8	23-27	BDA1	_
1-9	27-28	)	_
1-11	29-31	is	_
1-13	32-38	caused	_
1-15	39-41	by	_
1-17	42-51	mutations	_
1-19	52-54	in	_
1-21	55-58	the	_
1-23	59-65	Indian	_
1-25	66-74	hedgehog	_
1-27	75-79	gene	_
1-28	79-80	,	_
1-30	81-84	IHH	_
1-31	84-85	,	_
1-33	86-88	on	_
1-35	89-99	chromosome	_
1-37	100-104	2q35	_
1-38	104-105	-	_
1-39	105-107	36	_
1-40	107-108	.	_
1-42	109-111	In	_
1-44	112-116	this	_
1-46	117-122	study	_
1-47	122-123	,	_
1-49	124-125	a	_
1-51	126-131	large	_
1-53	132-136	five	_
1-54	136-137	-	_
1-55	137-147	generation	_
1-57	148-155	Chinese	_
1-59	156-162	family	_
1-61	163-167	with	_
1-63	168-172	BDA1	_
1-65	173-176	was	_
1-67	177-187	identified	_
1-69	188-191	and	_
1-71	192-205	characterized	_
1-72	205-206	.	_
1-74	207-210	All	_
1-76	211-219	affected	_
1-78	220-226	family	_
1-80	227-234	members	_
1-82	235-247	demonstrated	_
1-84	248-259	significant	_
1-86	260-271	homogeneous	_
1-88	272-281	phenotype	_
1-90	282-285	and	_
1-92	286-290	some	_
1-94	291-297	unique	_
1-96	298-306	clinical	_
1-98	307-315	features	_
1-100	316-325	different	_
1-102	326-330	from	_
1-104	331-336	those	_
1-106	337-347	associated	_
1-108	348-352	with	_
1-110	353-356	the	_
1-112	357-365	reported	_
1-114	366-370	BDA1	_
1-116	371-380	mutations	_
1-118	381-383	in	_
1-120	384-387	IHH	_
1-121	387-388	.	_
1-123	389-396	Linkage	_
1-125	397-405	analysis	_
1-127	406-412	showed	_
1-129	413-417	that	_
1-131	418-421	the	_
1-133	422-426	BDA1	_
1-135	427-431	gene	_
1-137	432-434	in	_
1-139	435-438	the	_
1-141	439-445	family	_
1-143	446-449	was	_
1-145	450-456	linked	_
1-147	457-459	to	_
1-149	460-466	marker	_
1-151	467-473	D2S126	_
1-153	474-479	close	_
1-155	480-482	to	_
1-157	483-486	IHH	_
1-159	487-491	with	_
1-161	492-493	a	_
1-163	494-497	LOD	_
1-165	498-503	score	_
1-167	504-506	of	_
1-169	507-508	4	_
1-170	508-509	.	_
1-171	509-511	74	_
1-173	512-514	at	_
1-175	515-516	a	_
1-177	517-530	recombination	_
1-179	531-539	fraction	_
1-181	540-542	of	_
1-183	543-544	0	_
1-184	544-545	.	_
1-186	546-549	DNA	_
1-188	550-558	sequence	_
1-190	559-567	analysis	_
1-192	568-576	revealed	_
1-194	577-578	a	_
1-196	579-591	heterozygous	_
1-198	592-593	C	_
1-200	594-596	to	_
1-202	597-598	T	_
1-204	599-609	transition	_
1-206	610-612	at	_
1-208	613-623	nucleotide	_
1-210	624-627	461	_
1-212	628-630	of	_
1-214	631-634	IHH	_
1-215	634-635	,	_
1-217	636-645	resulting	_
1-219	646-648	in	_
1-221	649-650	a	_
1-223	651-656	novel	_
1-225	657-662	T154I	_
1-227	663-675	substitution	_
1-228	675-676	.	_
1-230	677-680	The	_
1-232	681-686	T154I	_
1-234	687-695	mutation	_
1-236	696-698	co	_
1-237	698-699	-	_
1-238	699-709	segregated	_
1-240	710-714	with	_
1-242	715-718	all	_
1-244	719-727	affected	_
1-246	728-739	individuals	_
1-248	740-742	in	_
1-250	743-746	the	_
1-252	747-753	family	_
1-253	753-754	,	_
1-255	755-758	and	_
1-257	759-762	was	_
1-259	763-766	not	_
1-261	767-774	present	_
1-263	775-777	in	_
1-265	778-784	normal	_
1-267	785-791	family	_
1-269	792-799	members	_
1-271	800-802	or	_
1-273	803-806	200	_
1-275	807-813	normal	_
1-277	814-822	controls	_
1-278	822-823	.	_
1-280	824-829	These	_
1-282	830-837	results	_
1-284	838-844	expand	_
1-286	845-848	the	_
1-288	849-857	spectrum	_
1-290	858-860	of	_
1-292	861-869	clinical	_
1-294	870-879	phenotype	_
1-296	880-890	associated	_
1-298	891-895	with	_
1-300	896-899	IHH	_
1-302	900-909	mutations	_
1-303	909-910	.	_
