#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis type 2 (NF2) is almost unique among inherited disorders in the frequency of mosaicism in the first affected generation. However, the implications of this on transmission risks have not been fully elucidated.  The expanded database of 460 families with NF2 and 704 affected individuals was analysed for mosaicism and transmission risks to offspring.  64 mosaic patients, with a projected mosaicism rate of 33% for sporadic classical NF2 with bilateral vestibular schwannoma at presentation and 60% for those presenting unilaterally, were identified. Offspring risks can be radically reduced on the basis of a sensitive mutation analysis of blood DNA including multiple ligation-dependent probe amplification (MLPA, which detects 15% of all mutations), but even MLPA cannot detect high levels of mosaicism.  The chances of mosaicism in NF2 and the resultant risks of transmission of the mutation to offspring in a number of different clinical situations have been further delineated. The use of MLPA in this large NF2 series is also reported for the first time.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-22	type	_
1-5	23-24	2	_
1-7	25-26	(	_
1-8	26-29	NF2	_
1-9	29-30	)	_
1-11	31-33	is	_
1-13	34-40	almost	_
1-15	41-47	unique	_
1-17	48-53	among	_
1-19	54-63	inherited	_
1-21	64-73	disorders	_
1-23	74-76	in	_
1-25	77-80	the	_
1-27	81-90	frequency	HPO[1]
1-29	91-93	of	_
1-31	94-103	mosaicism	_
1-33	104-106	in	_
1-35	107-110	the	_
1-37	111-116	first	_
1-39	117-125	affected	_
1-41	126-136	generation	_
1-42	136-137	.	_
1-44	138-145	However	_
1-45	145-146	,	_
1-47	147-150	the	_
1-49	151-163	implications	_
1-51	164-166	of	_
1-53	167-171	this	_
1-55	172-174	on	_
1-57	175-187	transmission	_
1-59	188-193	risks	_
1-61	194-198	have	_
1-63	199-202	not	_
1-65	203-207	been	_
1-67	208-213	fully	_
1-69	214-224	elucidated	_
1-70	224-225	.	_
1-71	225-227	  	_
1-72	227-230	The	_
1-74	231-239	expanded	_
1-76	240-248	database	_
1-78	249-251	of	_
1-80	252-255	460	_
1-82	256-264	families	_
1-84	265-269	with	_
1-86	270-273	NF2	_
1-88	274-277	and	_
1-90	278-281	704	_
1-92	282-290	affected	_
1-94	291-302	individuals	_
1-96	303-306	was	_
1-98	307-315	analysed	_
1-100	316-319	for	_
1-102	320-329	mosaicism	_
1-104	330-333	and	_
1-106	334-346	transmission	_
1-108	347-352	risks	_
1-110	353-355	to	_
1-112	356-365	offspring	_
1-113	365-366	.	_
1-114	366-368	  	_
1-115	368-370	64	_
1-117	371-377	mosaic	_
1-119	378-386	patients	_
1-120	386-387	,	_
1-122	388-392	with	_
1-124	393-394	a	_
1-126	395-404	projected	_
1-128	405-414	mosaicism	_
1-130	415-419	rate	_
1-132	420-422	of	_
1-134	423-425	33	_
1-135	425-426	%	_
1-137	427-430	for	_
1-139	431-439	sporadic	_
1-141	440-449	classical	_
1-143	450-453	NF2	_
1-145	454-458	with	_
1-147	459-468	bilateral	HPO[4]
1-149	469-479	vestibular	HPO[4]|HPO[5]
1-151	480-490	schwannoma	_
1-153	491-493	at	_
1-155	494-506	presentation	_
1-157	507-510	and	_
1-159	511-513	60	_
1-160	513-514	%	_
1-162	515-518	for	_
1-164	519-524	those	_
1-166	525-535	presenting	_
1-168	536-548	unilaterally	_
1-169	548-549	,	_
1-171	550-554	were	_
1-173	555-565	identified	_
1-174	565-566	.	_
1-176	567-576	Offspring	_
1-178	577-582	risks	_
1-180	583-586	can	_
1-182	587-589	be	_
1-184	590-599	radically	_
1-186	600-607	reduced	_
1-188	608-610	on	_
1-190	611-614	the	_
1-192	615-620	basis	_
1-194	621-623	of	_
1-196	624-625	a	_
1-198	626-635	sensitive	_
1-200	636-644	mutation	_
1-202	645-653	analysis	_
1-204	654-656	of	_
1-206	657-662	blood	_
1-208	663-666	DNA	_
1-210	667-676	including	_
1-212	677-685	multiple	_
1-214	686-694	ligation	_
1-215	694-695	-	_
1-216	695-704	dependent	_
1-218	705-710	probe	_
1-220	711-724	amplification	_
1-222	725-726	(	_
1-223	726-730	MLPA	_
1-224	730-731	,	_
1-226	732-737	which	_
1-228	738-745	detects	_
1-230	746-748	15	_
1-231	748-749	%	_
1-233	750-752	of	_
1-235	753-756	all	_
1-237	757-766	mutations	_
1-238	766-768	),	_
1-240	769-772	but	_
1-242	773-777	even	_
1-244	778-782	MLPA	_
1-246	783-789	cannot	_
1-248	790-796	detect	_
1-250	797-801	high	_
1-252	802-808	levels	_
1-254	809-811	of	_
1-256	812-821	mosaicism	_
1-257	821-822	.	_
1-258	822-824	  	_
1-259	824-827	The	_
1-261	828-835	chances	_
1-263	836-838	of	_
1-265	839-848	mosaicism	_
1-267	849-851	in	_
1-269	852-855	NF2	_
1-271	856-859	and	_
1-273	860-863	the	_
1-275	864-873	resultant	_
1-277	874-879	risks	_
1-279	880-882	of	_
1-281	883-895	transmission	_
1-283	896-898	of	_
1-285	899-902	the	_
1-287	903-911	mutation	_
1-289	912-914	to	_
1-291	915-924	offspring	_
