#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Popliteal pterygium syndrome (PPS) and Van der Woude syndrome (VWS) are caused by mutations in the gene interferon regulatory factor 6 (IRF6). Skeletal, genital malformations and involvement of the skin occur in PPS and orofacial clefting and lip pits occur in both. We report on a patient with unilateral cleft lip and palate, ankyloblepharon, paramedian lip pits, unilateral renal aplasia, and a coronal hypospadias. By sequencing IRF6, we detected a novel missense mutation (Arg339Ile). The other family members were unaffected and had no IRF6 mutations, including the patient's brother who was also born with hypospadias. The patient and his brother were both conceived by in vitro fertilization (IVF). It is discussed whether the renal malformation in the patient is related to the IVF procedure or to the IRF6 mutation.
1-1	0-9	Popliteal	HPO[0]
1-3	10-19	pterygium	HPO[0]|HPO[1]
1-5	20-28	syndrome	_
1-7	29-30	(	_
1-8	30-33	PPS	_
1-9	33-34	)	_
1-11	35-38	and	_
1-13	39-42	Van	_
1-15	43-46	der	_
1-17	47-52	Woude	_
1-19	53-61	syndrome	_
1-21	62-63	(	_
1-22	63-66	VWS	_
1-23	66-67	)	_
1-25	68-71	are	_
1-27	72-78	caused	_
1-29	79-81	by	_
1-31	82-91	mutations	_
1-33	92-94	in	_
1-35	95-98	the	_
1-37	99-103	gene	_
1-39	104-114	interferon	_
1-41	115-125	regulatory	_
1-43	126-132	factor	_
1-45	133-134	6	_
1-47	135-136	(	_
1-48	136-140	IRF6	_
1-49	140-142	).	_
1-51	143-151	Skeletal	_
1-52	151-152	,	_
1-54	153-160	genital	_
1-56	161-174	malformations	_
1-58	175-178	and	_
1-60	179-190	involvement	_
1-62	191-193	of	_
1-64	194-197	the	_
1-66	198-202	skin	_
1-68	203-208	occur	_
1-70	209-211	in	_
1-72	212-215	PPS	_
1-74	216-219	and	_
1-76	220-229	orofacial	_
1-78	230-238	clefting	_
1-80	239-242	and	_
1-82	243-246	lip	_
1-84	247-251	pits	_
1-86	252-257	occur	_
1-88	258-260	in	_
1-90	261-265	both	_
1-91	265-266	.	_
1-93	267-269	We	_
1-95	270-276	report	_
1-97	277-279	on	_
1-99	280-281	a	_
1-101	282-289	patient	_
1-103	290-294	with	_
1-105	295-305	unilateral	HPO[2]|HPO[3]
1-107	306-311	cleft	HPO[3]|HPO[4]
1-109	312-315	lip	HPO[3]|HPO[4]
1-111	316-319	and	_
1-113	320-326	palate	_
1-114	326-327	,	_
1-116	328-343	ankyloblepharon	HPO[5]
1-117	343-344	,	_
1-119	345-355	paramedian	_
1-121	356-359	lip	_
1-123	360-364	pits	_
1-124	364-365	,	_
1-126	366-376	unilateral	HPO[6]
1-128	377-382	renal	HPO[7]
1-130	383-390	aplasia	HPO[7]
1-131	390-391	,	_
1-133	392-395	and	_
1-135	396-397	a	_
1-137	398-405	coronal	HPO[8]
1-139	406-417	hypospadias	HPO[8]|HPO[9]
1-140	417-418	.	_
1-142	419-421	By	_
1-144	422-432	sequencing	_
1-146	433-437	IRF6	_
1-147	437-438	,	_
1-149	439-441	we	_
1-151	442-450	detected	_
1-153	451-452	a	_
1-155	453-458	novel	_
1-157	459-467	missense	_
1-159	468-476	mutation	_
1-161	477-478	(	_
1-162	478-487	Arg339Ile	_
1-163	487-489	).	_
1-165	490-493	The	_
1-167	494-499	other	_
1-169	500-506	family	_
1-171	507-514	members	_
1-173	515-519	were	_
1-175	520-530	unaffected	_
1-177	531-534	and	_
1-179	535-538	had	_
1-181	539-541	no	_
1-183	542-546	IRF6	_
1-185	547-556	mutations	_
1-186	556-557	,	_
1-188	558-567	including	_
1-190	568-571	the	_
1-192	572-579	patient	_
1-193	579-580	'	_
1-194	580-581	s	_
1-196	582-589	brother	_
1-198	590-593	who	_
1-200	594-597	was	_
1-202	598-602	also	_
1-204	603-607	born	_
1-206	608-612	with	_
1-208	613-624	hypospadias	HPO[10]
1-209	624-625	.	_
1-211	626-629	The	_
1-213	630-637	patient	_
1-215	638-641	and	_
1-217	642-645	his	_
1-219	646-653	brother	_
1-221	654-658	were	_
1-223	659-663	both	_
1-225	664-673	conceived	_
1-227	674-676	by	_
1-229	677-679	in	_
1-231	680-685	vitro	_
1-233	686-699	fertilization	_
1-235	700-701	(	_
1-236	701-704	IVF	_
1-237	704-706	).	_
1-239	707-709	It	_
1-241	710-712	is	_
1-243	713-722	discussed	_
1-245	723-730	whether	_
1-247	731-734	the	_
1-249	735-740	renal	HPO[11]
1-251	741-753	malformation	HPO[11]
1-253	754-756	in	_
1-255	757-760	the	_
1-257	761-768	patient	_
1-259	769-771	is	_
1-261	772-779	related	_
1-263	780-782	to	_
1-265	783-786	the	_
1-267	787-790	IVF	_
1-269	791-800	procedure	_
1-271	801-803	or	_
1-273	804-806	to	_
1-275	807-810	the	_
1-277	811-815	IRF6	_
1-279	816-824	mutation	_
1-280	824-825	.	_
