#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Brachydactyly type A1 is a limb malformation characterized by a uniform shortening of the middle phalanges in all digits. Mutations in the Indian hedgehog (IHH) gene were shown to be the cause of this autosomal dominant disorder. The IHH protein is known to be an important signaling molecule involved in chondrocyte formation. So far, only missense mutations in IHH have been reported to cause BrachydactylyA1. We report here on the first deletion in IHH, p.delE95, causing mild BrachydactylyA1 in a small Dutch family. This brings the total number of different mutations found to cause BDA1 to 7.
1-1	0-13	Brachydactyly	HPO[0]
1-3	14-18	type	_
1-5	19-21	A1	_
1-7	22-24	is	_
1-9	25-26	a	_
1-11	27-31	limb	_
1-13	32-44	malformation	_
1-15	45-58	characterized	_
1-17	59-61	by	_
1-19	62-63	a	_
1-21	64-71	uniform	_
1-23	72-82	shortening	_
1-25	83-85	of	_
1-27	86-89	the	_
1-29	90-96	middle	_
1-31	97-106	phalanges	_
1-33	107-109	in	_
1-35	110-113	all	_
1-37	114-120	digits	_
1-38	120-121	.	_
1-40	122-131	Mutations	_
1-42	132-134	in	_
1-44	135-138	the	_
1-46	139-145	Indian	_
1-48	146-154	hedgehog	_
1-50	155-156	(	_
1-51	156-159	IHH	_
1-52	159-160	)	_
1-54	161-165	gene	_
1-56	166-170	were	_
1-58	171-176	shown	_
1-60	177-179	to	_
1-62	180-182	be	_
1-64	183-186	the	_
1-66	187-192	cause	_
1-68	193-195	of	_
1-70	196-200	this	_
1-72	201-210	autosomal	HPO[1]
1-74	211-219	dominant	HPO[1]
1-76	220-228	disorder	_
1-77	228-229	.	_
1-79	230-233	The	_
1-81	234-237	IHH	_
1-83	238-245	protein	_
1-85	246-248	is	_
1-87	249-254	known	_
1-89	255-257	to	_
1-91	258-260	be	_
1-93	261-263	an	_
1-95	264-273	important	_
1-97	274-283	signaling	_
1-99	284-292	molecule	_
1-101	293-301	involved	_
1-103	302-304	in	_
1-105	305-316	chondrocyte	_
1-107	317-326	formation	_
1-108	326-327	.	_
1-110	328-330	So	_
1-112	331-334	far	_
1-113	334-335	,	_
1-115	336-340	only	_
1-117	341-349	missense	_
1-119	350-359	mutations	_
1-121	360-362	in	_
1-123	363-366	IHH	_
1-125	367-371	have	_
1-127	372-376	been	_
1-129	377-385	reported	_
1-131	386-388	to	_
1-133	389-394	cause	_
1-135	395-410	BrachydactylyA1	_
1-136	410-411	.	_
1-138	412-414	We	_
1-140	415-421	report	_
1-142	422-426	here	_
1-144	427-429	on	_
1-146	430-433	the	_
1-148	434-439	first	_
1-150	440-448	deletion	_
1-152	449-451	in	_
1-154	452-455	IHH	_
1-155	455-456	,	_
1-157	457-458	p	_
1-158	458-459	.	_
1-159	459-465	delE95	_
1-160	465-466	,	_
1-162	467-474	causing	_
1-164	475-479	mild	HPO[2]
1-166	480-495	BrachydactylyA1	_
1-168	496-498	in	_
1-170	499-500	a	_
1-172	501-506	small	_
1-174	507-512	Dutch	_
1-176	513-519	family	_
1-177	519-520	.	_
1-179	521-525	This	_
1-181	526-532	brings	_
1-183	533-536	the	_
1-185	537-542	total	_
1-187	543-549	number	_
1-189	550-552	of	_
1-191	553-562	different	_
1-193	563-572	mutations	_
1-195	573-578	found	_
1-197	579-581	to	_
1-199	582-587	cause	_
1-201	588-592	BDA1	_
1-203	593-595	to	_
1-205	596-597	7	_
1-206	597-598	.	_
