#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis type 2 is an autosomal-dominant multiple neoplasia syndrome that results from mutations in the NF2 tumour suppressor gene located on chromosome 22q. It has a frequency of one in 25,000 livebirths and nearly 100% penetrance by 60 years of age. Half of patients inherit a germline mutation from an affected parent and the remainder acquire a de novo mutation for neurofibromatosis type 2. Patients develop nervous system tumours (schwannomas, meningiomas, ependymomas, astrocytomas, and neurofibromas), peripheral neuropathy, ophthalmological lesions (cataracts, epiretinal membranes, and retinal hamartomas), and cutaneous lesions (skin tumours). Optimum treatment is multidisciplinary because of the complexities associated with management of the multiple, progressive, and protean lesions associated with the disorder. We review the molecular pathogenesis, genetics, clinical findings, and management strategies for neurofibromatosis type 2.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-22	type	_
1-5	23-24	2	_
1-7	25-27	is	_
1-9	28-30	an	_
1-11	31-40	autosomal	_
1-12	40-41	-	_
1-13	41-49	dominant	_
1-15	50-58	multiple	_
1-17	59-68	neoplasia	HPO[1]
1-19	69-77	syndrome	_
1-21	78-82	that	_
1-23	83-90	results	_
1-25	91-95	from	_
1-27	96-105	mutations	_
1-29	106-108	in	_
1-31	109-112	the	_
1-33	113-116	NF2	_
1-35	117-123	tumour	HPO[2]
1-37	124-134	suppressor	_
1-39	135-139	gene	_
1-41	140-147	located	_
1-43	148-150	on	_
1-45	151-161	chromosome	_
1-47	162-165	22q	_
1-48	165-166	.	_
1-50	167-169	It	_
1-52	170-173	has	_
1-54	174-175	a	_
1-56	176-185	frequency	HPO[3]
1-58	186-188	of	_
1-60	189-192	one	_
1-62	193-195	in	_
1-64	196-198	25	_
1-65	198-199	,	_
1-66	199-202	000	_
1-68	203-213	livebirths	_
1-70	214-217	and	_
1-72	218-224	nearly	_
1-74	225-228	100	_
1-75	228-229	%	_
1-77	230-240	penetrance	_
1-79	241-243	by	_
1-81	244-246	60	_
1-83	247-252	years	_
1-85	253-255	of	_
1-87	256-259	age	_
1-88	259-260	.	_
1-90	261-265	Half	_
1-92	266-268	of	_
1-94	269-277	patients	_
1-96	278-285	inherit	_
1-98	286-287	a	_
1-100	288-296	germline	_
1-102	297-305	mutation	_
1-104	306-310	from	_
1-106	311-313	an	_
1-108	314-322	affected	_
1-110	323-329	parent	_
1-112	330-333	and	_
1-114	334-337	the	_
1-116	338-347	remainder	_
1-118	348-355	acquire	_
1-120	356-357	a	_
1-122	358-360	de	_
1-124	361-365	novo	_
1-126	366-374	mutation	_
1-128	375-378	for	_
1-130	379-396	neurofibromatosis	HPO[4]
1-132	397-401	type	_
1-134	402-403	2	_
1-135	403-404	.	_
1-137	405-413	Patients	_
1-139	414-421	develop	_
1-141	422-429	nervous	_
1-143	430-436	system	_
1-145	437-444	tumours	_
1-147	445-446	(	_
1-148	446-457	schwannomas	HPO[5]
1-149	457-458	,	_
1-151	459-470	meningiomas	_
1-152	470-471	,	_
1-154	472-483	ependymomas	_
1-155	483-484	,	_
1-157	485-497	astrocytomas	_
1-158	497-498	,	_
1-160	499-502	and	_
1-162	503-516	neurofibromas	HPO[6]
1-163	516-518	),	_
1-165	519-529	peripheral	HPO[7]|HPO[8]
1-167	530-540	neuropathy	HPO[8]|HPO[9]
1-168	540-541	,	_
1-170	542-558	ophthalmological	_
1-172	559-566	lesions	_
1-174	567-568	(	_
1-175	568-577	cataracts	HPO[10]
1-176	577-578	,	_
1-178	579-589	epiretinal	HPO[11]
1-180	590-599	membranes	HPO[11]
1-181	599-600	,	_
1-183	601-604	and	_
1-185	605-612	retinal	_
1-187	613-623	hamartomas	_
1-188	623-625	),	_
1-190	626-629	and	_
1-192	630-639	cutaneous	_
1-194	640-647	lesions	_
1-196	648-649	(	_
1-197	649-653	skin	_
1-199	654-661	tumours	_
1-200	661-663	).	_
1-202	664-671	Optimum	_
1-204	672-681	treatment	_
1-206	682-684	is	_
1-208	685-702	multidisciplinary	_
1-210	703-710	because	_
1-212	711-713	of	_
1-214	714-717	the	_
1-216	718-730	complexities	_
1-218	731-741	associated	_
1-220	742-746	with	_
1-222	747-757	management	_
1-224	758-760	of	_
1-226	761-764	the	_
1-228	765-773	multiple	_
1-229	773-774	,	_
1-231	775-786	progressive	HPO[12]
1-232	786-787	,	_
1-234	788-791	and	_
1-236	792-799	protean	_
1-238	800-807	lesions	_
1-240	808-818	associated	_
1-242	819-823	with	_
1-244	824-827	the	_
1-246	828-836	disorder	_
1-247	836-837	.	_
1-249	838-840	We	_
1-251	841-847	review	_
1-253	848-851	the	_
1-255	852-861	molecular	_
1-257	862-874	pathogenesis	_
1-258	874-875	,	_
1-260	876-884	genetics	_
1-261	884-885	,	_
1-263	886-894	clinical	_
1-265	895-903	findings	_
1-266	903-904	,	_
1-268	905-908	and	_
1-270	909-919	management	_
1-272	920-930	strategies	_
1-274	931-934	for	_
1-276	935-952	neurofibromatosis	HPO[13]
1-278	953-957	type	_
1-280	958-959	2	_
1-281	959-960	.	_
