#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis 2 or bilateral acoustic neurofibromatosis (NF2) is a severe autosomal dominant disorder characterized by the development of multiple tumors of the nervous system, including meningiomas, gliomas, neurofibromas, ependymomas, and particularly acoustic neuromas. Polymorphic DNA markers have revealed frequent loss of one copy of chromosome 22 in the tumor types associated with NF2. Family studies have demonstrated that the primary defect in NF2 is linked to DNA markers on chromosome 22, suggesting that it involves inactivation of a tumor suppressor gene. We have employed a combination of multipoint linkage analysis and examination of deletions in primary tumor specimens to precisely map the NF2 locus between flanking polymorphic DNA markers on chromosome 22. The 13-cM region bracketed by these markers corresponds to 13% of the genetic length of the long arm of chromosome 22 and is expected to contain less than 5 x 10(6) bp of DNA. The delineation of flanking markers for NF2 should permit accurate presymptomatic and prenatal diagnosis for the disorder and greatly facilitate efforts to isolate the defective gene on the basis of its location.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-19	2	_
1-5	20-22	or	_
1-7	23-32	bilateral	HPO[1]
1-9	33-41	acoustic	_
1-11	42-59	neurofibromatosis	HPO[2]
1-13	60-61	(	_
1-14	61-64	NF2	_
1-15	64-65	)	_
1-17	66-68	is	_
1-19	69-70	a	_
1-21	71-77	severe	HPO[3]
1-23	78-87	autosomal	HPO[4]
1-25	88-96	dominant	HPO[4]
1-27	97-105	disorder	_
1-29	106-119	characterized	_
1-31	120-122	by	_
1-33	123-126	the	_
1-35	127-138	development	_
1-37	139-141	of	_
1-39	142-150	multiple	_
1-41	151-157	tumors	_
1-43	158-160	of	_
1-45	161-164	the	_
1-47	165-172	nervous	_
1-49	173-179	system	_
1-50	179-180	,	_
1-52	181-190	including	_
1-54	191-202	meningiomas	_
1-55	202-203	,	_
1-57	204-211	gliomas	_
1-58	211-212	,	_
1-60	213-226	neurofibromas	HPO[5]
1-61	226-227	,	_
1-63	228-239	ependymomas	_
1-64	239-240	,	_
1-66	241-244	and	_
1-68	245-257	particularly	_
1-70	258-266	acoustic	_
1-72	267-275	neuromas	_
1-73	275-276	.	_
1-75	277-288	Polymorphic	_
1-77	289-292	DNA	_
1-79	293-300	markers	_
1-81	301-305	have	_
1-83	306-314	revealed	_
1-85	315-323	frequent	HPO[6]
1-87	324-328	loss	_
1-89	329-331	of	_
1-91	332-335	one	_
1-93	336-340	copy	_
1-95	341-343	of	_
1-97	344-354	chromosome	_
1-99	355-357	22	_
1-101	358-360	in	_
1-103	361-364	the	_
1-105	365-370	tumor	HPO[7]
1-107	371-376	types	_
1-109	377-387	associated	_
1-111	388-392	with	_
1-113	393-396	NF2	_
1-114	396-397	.	_
1-116	398-404	Family	_
1-118	405-412	studies	_
1-120	413-417	have	_
1-122	418-430	demonstrated	_
1-124	431-435	that	_
1-126	436-439	the	_
1-128	440-447	primary	_
1-130	448-454	defect	_
1-132	455-457	in	_
1-134	458-461	NF2	_
1-136	462-464	is	_
1-138	465-471	linked	_
1-140	472-474	to	_
1-142	475-478	DNA	_
1-144	479-486	markers	_
1-146	487-489	on	_
1-148	490-500	chromosome	_
1-150	501-503	22	_
1-151	503-504	,	_
1-153	505-515	suggesting	_
1-155	516-520	that	_
1-157	521-523	it	_
1-159	524-532	involves	_
1-161	533-545	inactivation	_
1-163	546-548	of	_
1-165	549-550	a	_
1-167	551-556	tumor	HPO[8]
1-169	557-567	suppressor	_
1-171	568-572	gene	_
1-172	572-573	.	_
1-174	574-576	We	_
1-176	577-581	have	_
1-178	582-590	employed	_
1-180	591-592	a	_
1-182	593-604	combination	_
1-184	605-607	of	_
1-186	608-618	multipoint	_
1-188	619-626	linkage	_
1-190	627-635	analysis	_
1-192	636-639	and	_
1-194	640-651	examination	_
1-196	652-654	of	_
1-198	655-664	deletions	_
1-200	665-667	in	_
1-202	668-675	primary	_
1-204	676-681	tumor	HPO[9]
1-206	682-691	specimens	_
1-208	692-694	to	_
1-210	695-704	precisely	_
1-212	705-708	map	_
1-214	709-712	the	_
1-216	713-716	NF2	_
1-218	717-722	locus	_
1-220	723-730	between	_
1-222	731-739	flanking	_
1-224	740-751	polymorphic	_
1-226	752-755	DNA	_
1-228	756-763	markers	_
1-230	764-766	on	_
1-232	767-777	chromosome	_
1-234	778-780	22	_
1-235	780-781	.	_
1-237	782-785	The	_
1-239	786-788	13	_
1-240	788-789	-	_
1-241	789-791	cM	_
1-243	792-798	region	_
1-245	799-808	bracketed	_
1-247	809-811	by	_
1-249	812-817	these	_
1-251	818-825	markers	_
1-253	826-837	corresponds	_
1-255	838-840	to	_
1-257	841-843	13	_
1-258	843-844	%	_
1-260	845-847	of	_
1-262	848-851	the	_
1-264	852-859	genetic	_
1-266	860-866	length	_
1-268	867-869	of	_
1-270	870-873	the	_
1-272	874-878	long	_
1-274	879-882	arm	_
1-276	883-885	of	_
1-278	886-896	chromosome	_
1-280	897-899	22	_
1-282	900-903	and	_
1-284	904-906	is	_
1-286	907-915	expected	_
1-288	916-918	to	_
1-290	919-926	contain	_
1-292	927-931	less	_
1-294	932-936	than	_
1-296	937-938	5	_
1-298	939-940	x	_
1-300	941-943	10	_
1-301	943-944	(	_
1-302	944-945	6	_
1-303	945-946	)	_
1-305	947-949	bp	_
1-307	950-952	of	_
1-309	953-956	DNA	_
1-310	956-957	.	_
1-312	958-961	The	_
1-314	962-973	delineation	_
1-316	974-976	of	_
1-318	977-985	flanking	_
1-320	986-993	markers	_
1-322	994-997	for	_
1-324	998-1001	NF2	_
1-326	1002-1008	should	_
1-328	1009-1015	permit	_
1-330	1016-1024	accurate	_
1-332	1025-1039	presymptomatic	_
1-334	1040-1043	and	_
1-336	1044-1052	prenatal	_
1-338	1053-1062	diagnosis	_
1-340	1063-1066	for	_
1-342	1067-1070	the	_
1-344	1071-1079	disorder	_
1-346	1080-1083	and	_
1-348	1084-1091	greatly	_
1-350	1092-1102	facilitate	_
1-352	1103-1110	efforts	_
1-354	1111-1113	to	_
1-356	1114-1121	isolate	_
1-358	1122-1125	the	_
1-360	1126-1135	defective	_
1-362	1136-1140	gene	_
1-364	1141-1143	on	_
1-366	1144-1147	the	_
1-368	1148-1153	basis	_
1-370	1154-1156	of	_
1-372	1157-1160	its	_
1-374	1161-1169	location	_
1-375	1169-1170	.	_
