#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Bilateral acoustic neurofibromatosis (BANF) is a severe autosomal dominant disorder involving development of multiple tumours of the nervous system including meningiomas, gliomas, neurofibromas and particularly bilateral acoustic neuromas. We have used genetic linkage analysis with DNA markers to establish that the defective gene causing BANF is on chromosome 22, and is therefore distinct from the gene for the von Recklinghausen form of neurofibromatosis, which maps to chromosome 17. Linked DNA markers will be particularly valuable in BANF, facilitating early detection of tumours and thereby permitting more effective surgical intervention. In view of the reported loss of genes on chromosome 22 in meningiomas and acoustic neuromas, the genetic localization of the primary BANF defect strongly supports the concept that the disease locus encodes a 'tumour suppressor' gene. Isolation of this gene should provide insights into the pathogenesis of acoustic neuromas and other nervous system tumours, as well as into the control of proliferation and differentiation of neural crest cells.
1-1	0-9	Bilateral	HPO[0]
1-3	10-18	acoustic	_
1-5	19-36	neurofibromatosis	HPO[1]
1-7	37-38	(	_
1-8	38-42	BANF	_
1-9	42-43	)	_
1-11	44-46	is	_
1-13	47-48	a	_
1-15	49-55	severe	HPO[2]
1-17	56-65	autosomal	HPO[3]
1-19	66-74	dominant	HPO[3]
1-21	75-83	disorder	_
1-23	84-93	involving	_
1-25	94-105	development	_
1-27	106-108	of	_
1-29	109-117	multiple	_
1-31	118-125	tumours	_
1-33	126-128	of	_
1-35	129-132	the	_
1-37	133-140	nervous	_
1-39	141-147	system	_
1-41	148-157	including	_
1-43	158-169	meningiomas	_
1-44	169-170	,	_
1-46	171-178	gliomas	_
1-47	178-179	,	_
1-49	180-193	neurofibromas	HPO[4]
1-51	194-197	and	_
1-53	198-210	particularly	_
1-55	211-220	bilateral	HPO[5]|HPO[6]
1-57	221-229	acoustic	HPO[6]
1-59	230-238	neuromas	HPO[6]
1-60	238-239	.	_
1-62	240-242	We	_
1-64	243-247	have	_
1-66	248-252	used	_
1-68	253-260	genetic	_
1-70	261-268	linkage	_
1-72	269-277	analysis	_
1-74	278-282	with	_
1-76	283-286	DNA	_
1-78	287-294	markers	_
1-80	295-297	to	_
1-82	298-307	establish	_
1-84	308-312	that	_
1-86	313-316	the	_
1-88	317-326	defective	_
1-90	327-331	gene	_
1-92	332-339	causing	_
1-94	340-344	BANF	_
1-96	345-347	is	_
1-98	348-350	on	_
1-100	351-361	chromosome	_
1-102	362-364	22	_
1-103	364-365	,	_
1-105	366-369	and	_
1-107	370-372	is	_
1-109	373-382	therefore	_
1-111	383-391	distinct	_
1-113	392-396	from	_
1-115	397-400	the	_
1-117	401-405	gene	_
1-119	406-409	for	_
1-121	410-413	the	_
1-123	414-417	von	_
1-125	418-432	Recklinghausen	_
1-127	433-437	form	_
1-129	438-440	of	_
1-131	441-458	neurofibromatosis	HPO[7]
1-132	458-459	,	_
1-134	460-465	which	_
1-136	466-470	maps	_
1-138	471-473	to	_
1-140	474-484	chromosome	_
1-142	485-487	17	_
1-143	487-488	.	_
1-145	489-495	Linked	_
1-147	496-499	DNA	_
1-149	500-507	markers	_
1-151	508-512	will	_
1-153	513-515	be	_
1-155	516-528	particularly	_
1-157	529-537	valuable	_
1-159	538-540	in	_
1-161	541-545	BANF	_
1-162	545-546	,	_
1-164	547-559	facilitating	_
1-166	560-565	early	_
1-168	566-575	detection	_
1-170	576-578	of	_
1-172	579-586	tumours	_
1-174	587-590	and	_
1-176	591-598	thereby	_
1-178	599-609	permitting	_
1-180	610-614	more	_
1-182	615-624	effective	_
1-184	625-633	surgical	_
1-186	634-646	intervention	_
1-187	646-647	.	_
1-189	648-650	In	_
1-191	651-655	view	_
1-193	656-658	of	_
1-195	659-662	the	_
1-197	663-671	reported	_
1-199	672-676	loss	_
1-201	677-679	of	_
1-203	680-685	genes	_
1-205	686-688	on	_
1-207	689-699	chromosome	_
1-209	700-702	22	_
1-211	703-705	in	_
1-213	706-717	meningiomas	_
1-215	718-721	and	_
1-217	722-730	acoustic	_
1-219	731-739	neuromas	_
1-220	739-740	,	_
1-222	741-744	the	_
1-224	745-752	genetic	_
1-226	753-765	localization	_
1-228	766-768	of	_
1-230	769-772	the	_
1-232	773-780	primary	_
1-234	781-785	BANF	_
1-236	786-792	defect	_
1-238	793-801	strongly	_
1-240	802-810	supports	_
1-242	811-814	the	_
1-244	815-822	concept	_
1-246	823-827	that	_
1-248	828-831	the	_
1-250	832-839	disease	_
1-252	840-845	locus	_
1-254	846-853	encodes	_
1-256	854-855	a	_
1-258	856-857	'	_
1-259	857-863	tumour	_
1-261	864-874	suppressor	_
1-262	874-875	'	_
1-264	876-880	gene	_
1-265	880-881	.	_
1-267	882-891	Isolation	_
1-269	892-894	of	_
1-271	895-899	this	_
1-273	900-904	gene	_
1-275	905-911	should	_
1-277	912-919	provide	_
1-279	920-928	insights	_
1-281	929-933	into	_
1-283	934-937	the	_
1-285	938-950	pathogenesis	_
1-287	951-953	of	_
1-289	954-962	acoustic	_
1-291	963-971	neuromas	_
1-293	972-975	and	_
1-295	976-981	other	_
1-297	982-989	nervous	_
1-299	990-996	system	_
1-301	997-1004	tumours	_
1-302	1004-1005	,	_
1-304	1006-1008	as	_
1-306	1009-1013	well	_
1-308	1014-1016	as	_
1-310	1017-1021	into	_
1-312	1022-1025	the	_
1-314	1026-1033	control	_
1-316	1034-1036	of	_
1-318	1037-1050	proliferation	_
1-320	1051-1054	and	_
1-322	1055-1070	differentiation	_
1-324	1071-1073	of	_
1-326	1074-1080	neural	_
1-328	1081-1086	crest	_
1-330	1087-1092	cells	_
1-331	1092-1093	.	_
