#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Bilateral acoustic neurofibromatosis (BANF) is a genetic defect associated with multiple tumors of neural crest origin. Specific loss of alleles from chromosome 22 was detected with polymorphic DNA markers in two acoustic neuromas, two neurofibromas, and one meningioma from BANF patients. This indicates a common pathogenetic mechanism for all three tumor types. The two neurofibromas were among three taken from the same patient, and both showed loss of identical alleles demonstrating that the same chromosome suffered deletion in both tumors. The third neurofibroma from this patient showed no detectable loss of heterozygosity, which suggests the possibility of a more subtle mutational event that affects chromosome 22. In the two acoustic neuromas, only a portion of chromosome 22 was deleted, narrowing the possible chromosomal location of the gene that causes BANF to the region distal to the D22S9 locus in band 22q11. The identification of progressively smaller deletions on chromosome 22 in these tumor types may well provide a means to clone and characterize the defect.
1-1	0-9	Bilateral	HPO[0]
1-3	10-18	acoustic	_
1-5	19-36	neurofibromatosis	HPO[1]
1-7	37-38	(	_
1-8	38-42	BANF	_
1-9	42-43	)	_
1-11	44-46	is	_
1-13	47-48	a	_
1-15	49-56	genetic	_
1-17	57-63	defect	_
1-19	64-74	associated	_
1-21	75-79	with	_
1-23	80-88	multiple	_
1-25	89-95	tumors	_
1-27	96-98	of	_
1-29	99-105	neural	_
1-31	106-111	crest	_
1-33	112-118	origin	_
1-34	118-119	.	_
1-36	120-128	Specific	_
1-38	129-133	loss	_
1-40	134-136	of	_
1-42	137-144	alleles	_
1-44	145-149	from	_
1-46	150-160	chromosome	_
1-48	161-163	22	_
1-50	164-167	was	_
1-52	168-176	detected	_
1-54	177-181	with	_
1-56	182-193	polymorphic	_
1-58	194-197	DNA	_
1-60	198-205	markers	_
1-62	206-208	in	_
1-64	209-212	two	_
1-66	213-221	acoustic	_
1-68	222-230	neuromas	_
1-69	230-231	,	_
1-71	232-235	two	_
1-73	236-249	neurofibromas	HPO[2]
1-74	249-250	,	_
1-76	251-254	and	_
1-78	255-258	one	_
1-80	259-269	meningioma	HPO[3]
1-82	270-274	from	_
1-84	275-279	BANF	_
1-86	280-288	patients	_
1-87	288-289	.	_
1-89	290-294	This	_
1-91	295-304	indicates	_
1-93	305-306	a	_
1-95	307-313	common	_
1-97	314-326	pathogenetic	_
1-99	327-336	mechanism	_
1-101	337-340	for	_
1-103	341-344	all	_
1-105	345-350	three	_
1-107	351-356	tumor	HPO[4]
1-109	357-362	types	_
1-110	362-363	.	_
1-112	364-367	The	_
1-114	368-371	two	_
1-116	372-385	neurofibromas	HPO[5]
1-118	386-390	were	_
1-120	391-396	among	_
1-122	397-402	three	_
1-124	403-408	taken	_
1-126	409-413	from	_
1-128	414-417	the	_
1-130	418-422	same	_
1-132	423-430	patient	_
1-133	430-431	,	_
1-135	432-435	and	_
1-137	436-440	both	_
1-139	441-447	showed	_
1-141	448-452	loss	_
1-143	453-455	of	_
1-145	456-465	identical	_
1-147	466-473	alleles	_
1-149	474-487	demonstrating	_
1-151	488-492	that	_
1-153	493-496	the	_
1-155	497-501	same	_
1-157	502-512	chromosome	_
1-159	513-521	suffered	_
1-161	522-530	deletion	_
1-163	531-533	in	_
1-165	534-538	both	_
1-167	539-545	tumors	_
1-168	545-546	.	_
1-170	547-550	The	_
1-172	551-556	third	_
1-174	557-569	neurofibroma	_
1-176	570-574	from	_
1-178	575-579	this	_
1-180	580-587	patient	_
1-182	588-594	showed	_
1-184	595-597	no	_
1-186	598-608	detectable	_
1-188	609-613	loss	_
1-190	614-616	of	_
1-192	617-631	heterozygosity	_
1-193	631-632	,	_
1-195	633-638	which	_
1-197	639-647	suggests	_
1-199	648-651	the	_
1-201	652-663	possibility	_
1-203	664-666	of	_
1-205	667-668	a	_
1-207	669-673	more	_
1-209	674-680	subtle	_
1-211	681-691	mutational	_
1-213	692-697	event	_
1-215	698-702	that	_
1-217	703-710	affects	_
1-219	711-721	chromosome	_
1-221	722-724	22	_
1-222	724-725	.	_
1-224	726-728	In	_
1-226	729-732	the	_
1-228	733-736	two	_
1-230	737-745	acoustic	_
1-232	746-754	neuromas	_
1-233	754-755	,	_
1-235	756-760	only	_
1-237	761-762	a	_
1-239	763-770	portion	_
1-241	771-773	of	_
1-243	774-784	chromosome	_
1-245	785-787	22	_
1-247	788-791	was	_
1-249	792-799	deleted	_
1-250	799-800	,	_
1-252	801-810	narrowing	_
1-254	811-814	the	_
1-256	815-823	possible	_
1-258	824-835	chromosomal	_
1-260	836-844	location	_
1-262	845-847	of	_
1-264	848-851	the	_
1-266	852-856	gene	_
1-268	857-861	that	_
1-270	862-868	causes	_
1-272	869-873	BANF	_
1-274	874-876	to	_
1-276	877-880	the	_
1-278	881-887	region	_
1-280	888-894	distal	HPO[6]
1-282	895-897	to	_
1-284	898-901	the	_
1-286	902-907	D22S9	_
1-288	908-913	locus	_
1-290	914-916	in	_
1-292	917-921	band	_
1-294	922-927	22q11	_
1-295	927-928	.	_
1-297	929-932	The	_
1-299	933-947	identification	_
1-301	948-950	of	_
1-303	951-964	progressively	_
1-305	965-972	smaller	_
1-307	973-982	deletions	_
1-309	983-985	on	_
1-311	986-996	chromosome	_
1-313	997-999	22	_
1-315	1000-1002	in	_
1-317	1003-1008	these	_
1-319	1009-1014	tumor	HPO[7]
1-321	1015-1020	types	_
1-323	1021-1024	may	_
1-325	1025-1029	well	_
1-327	1030-1037	provide	_
1-329	1038-1039	a	_
1-331	1040-1045	means	_
1-333	1046-1048	to	_
1-335	1049-1054	clone	_
1-337	1055-1058	and	_
1-339	1059-1071	characterize	_
1-341	1072-1075	the	_
1-343	1076-1082	defect	_
1-344	1082-1083	.	_
