#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis includes the common "peripheral" form and a recently documented "central" form. We describe the central form in 130 cases from 9 kindreds personally studied and 15 reported kindreds. Central neurofibromatosis with bilateral acoustic neuroma is an autosomal dominant disorder beginning about 20 years of age, accompanied by mild skin changes. In three kindreds with central neurofibromatosis, we measured nerve growth factor in serum by radioimmunoassay and radioreceptor assay. Only the antigenic activity of nerve growth factor was increased. In contrast, in peripheral neurofibromatosis, only the functional activity of nerve growth factor has been reported increased. Central and peripheral forms of neurofibromatosis are closely related but discrete diseases which appear to have separate alterations in nerve growth factor activity.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-26	includes	_
1-5	27-30	the	_
1-7	31-37	common	_
1-9	38-39	"	_
1-10	39-49	peripheral	HPO[1]
1-11	49-50	"	_
1-13	51-55	form	_
1-15	56-59	and	_
1-17	60-61	a	_
1-19	62-70	recently	_
1-21	71-81	documented	_
1-23	82-83	"	_
1-24	83-90	central	HPO[2]
1-25	90-91	"	_
1-27	92-96	form	_
1-28	96-97	.	_
1-30	98-100	We	_
1-32	101-109	describe	_
1-34	110-113	the	_
1-36	114-121	central	HPO[3]
1-38	122-126	form	_
1-40	127-129	in	_
1-42	130-133	130	_
1-44	134-139	cases	_
1-46	140-144	from	_
1-48	145-146	9	_
1-50	147-155	kindreds	_
1-52	156-166	personally	_
1-54	167-174	studied	_
1-56	175-178	and	_
1-58	179-181	15	_
1-60	182-190	reported	_
1-62	191-199	kindreds	_
1-63	199-200	.	_
1-65	201-208	Central	HPO[4]
1-67	209-226	neurofibromatosis	HPO[5]
1-69	227-231	with	_
1-71	232-241	bilateral	HPO[6]
1-73	242-250	acoustic	HPO[7]
1-75	251-258	neuroma	HPO[7]|HPO[8]
1-77	259-261	is	_
1-79	262-264	an	_
1-81	265-274	autosomal	HPO[9]
1-83	275-283	dominant	HPO[9]
1-85	284-292	disorder	_
1-87	293-302	beginning	_
1-89	303-308	about	_
1-91	309-311	20	_
1-93	312-317	years	_
1-95	318-320	of	_
1-97	321-324	age	_
1-98	324-325	,	_
1-100	326-337	accompanied	_
1-102	338-340	by	_
1-104	341-345	mild	HPO[10]
1-106	346-350	skin	_
1-108	351-358	changes	_
1-109	358-359	.	_
1-111	360-362	In	_
1-113	363-368	three	_
1-115	369-377	kindreds	_
1-117	378-382	with	_
1-119	383-390	central	HPO[11]
1-121	391-408	neurofibromatosis	HPO[12]
1-122	408-409	,	_
1-124	410-412	we	_
1-126	413-421	measured	_
1-128	422-427	nerve	_
1-130	428-434	growth	_
1-132	435-441	factor	_
1-134	442-444	in	_
1-136	445-450	serum	_
1-138	451-453	by	_
1-140	454-470	radioimmunoassay	_
1-142	471-474	and	_
1-144	475-488	radioreceptor	_
1-146	489-494	assay	_
1-147	494-495	.	_
1-149	496-500	Only	_
1-151	501-504	the	_
1-153	505-514	antigenic	_
1-155	515-523	activity	_
1-157	524-526	of	_
1-159	527-532	nerve	_
1-161	533-539	growth	_
1-163	540-546	factor	_
1-165	547-550	was	_
1-167	551-560	increased	_
1-168	560-561	.	_
1-170	562-564	In	_
1-172	565-573	contrast	_
1-173	573-574	,	_
1-175	575-577	in	_
1-177	578-588	peripheral	HPO[13]
1-179	589-606	neurofibromatosis	HPO[14]
1-180	606-607	,	_
1-182	608-612	only	_
1-184	613-616	the	_
1-186	617-627	functional	_
1-188	628-636	activity	_
1-190	637-639	of	_
1-192	640-645	nerve	_
1-194	646-652	growth	_
1-196	653-659	factor	_
1-198	660-663	has	_
1-200	664-668	been	_
1-202	669-677	reported	_
1-204	678-687	increased	_
1-205	687-688	.	_
1-207	689-696	Central	HPO[15]
1-209	697-700	and	_
1-211	701-711	peripheral	HPO[16]
1-213	712-717	forms	_
1-215	718-720	of	_
1-217	721-738	neurofibromatosis	HPO[17]
1-219	739-742	are	_
1-221	743-750	closely	_
1-223	751-758	related	_
1-225	759-762	but	_
1-227	763-771	discrete	_
1-229	772-780	diseases	_
1-231	781-786	which	_
1-233	787-793	appear	_
1-235	794-796	to	_
1-237	797-801	have	_
1-239	802-810	separate	_
1-241	811-822	alterations	_
1-243	823-825	in	_
1-245	826-831	nerve	_
1-247	832-838	growth	_
1-249	839-845	factor	_
1-251	846-854	activity	_
1-252	854-855	.	_
