#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis type 2 (NF2) is a monogenic dominantly inherited disease predisposing carriers to develop nervous system tumours. To identify the genetic defect, the region between two flanking polymorphic markers on chromosome 22 was cloned and several genes identified. One is the site of germ-line mutations in NF2 patients and of somatic mutations in NF2-related tumours. Its deduced product has homology with proteins at the plasma membrane and cytoskeleton interface, a previously unknown site of action of tumour suppressor genes in humans.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-22	type	_
1-5	23-24	2	_
1-7	25-26	(	_
1-8	26-29	NF2	_
1-9	29-30	)	_
1-11	31-33	is	_
1-13	34-35	a	_
1-15	36-45	monogenic	_
1-17	46-56	dominantly	_
1-19	57-66	inherited	_
1-21	67-74	disease	_
1-23	75-87	predisposing	_
1-25	88-96	carriers	_
1-27	97-99	to	_
1-29	100-107	develop	_
1-31	108-115	nervous	_
1-33	116-122	system	_
1-35	123-130	tumours	_
1-36	130-131	.	_
1-38	132-134	To	_
1-40	135-143	identify	_
1-42	144-147	the	_
1-44	148-155	genetic	_
1-46	156-162	defect	_
1-47	162-163	,	_
1-49	164-167	the	_
1-51	168-174	region	_
1-53	175-182	between	_
1-55	183-186	two	_
1-57	187-195	flanking	_
1-59	196-207	polymorphic	_
1-61	208-215	markers	_
1-63	216-218	on	_
1-65	219-229	chromosome	_
1-67	230-232	22	_
1-69	233-236	was	_
1-71	237-243	cloned	_
1-73	244-247	and	_
1-75	248-255	several	_
1-77	256-261	genes	_
1-79	262-272	identified	_
1-80	272-273	.	_
1-82	274-277	One	_
1-84	278-280	is	_
1-86	281-284	the	_
1-88	285-289	site	_
1-90	290-292	of	_
1-92	293-297	germ	_
1-93	297-298	-	_
1-94	298-302	line	_
1-96	303-312	mutations	_
1-98	313-315	in	_
1-100	316-319	NF2	_
1-102	320-328	patients	_
1-104	329-332	and	_
1-106	333-335	of	_
1-108	336-343	somatic	_
1-110	344-353	mutations	_
1-112	354-356	in	_
1-114	357-360	NF2	_
1-115	360-361	-	_
1-116	361-368	related	_
1-118	369-376	tumours	_
1-119	376-377	.	_
1-121	378-381	Its	_
1-123	382-389	deduced	_
1-125	390-397	product	_
1-127	398-401	has	_
1-129	402-410	homology	_
1-131	411-415	with	_
1-133	416-424	proteins	_
1-135	425-427	at	_
1-137	428-431	the	_
1-139	432-438	plasma	_
1-141	439-447	membrane	_
1-143	448-451	and	_
1-145	452-464	cytoskeleton	_
1-147	465-474	interface	_
1-148	474-475	,	_
1-150	476-477	a	_
1-152	478-488	previously	_
1-154	489-496	unknown	_
1-156	497-501	site	_
1-158	502-504	of	_
1-160	505-511	action	_
1-162	512-514	of	_
1-164	515-521	tumour	HPO[1]
1-166	522-532	suppressor	_
1-168	533-538	genes	_
1-170	539-541	in	_
1-172	542-548	humans	_
1-173	548-549	.	_
