#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis 2 (NF2) is a dominantly inherited disorder characterized by multiple tumors of the central nervous system, predominantly bilateral vestibular schwannomas. The gene for NF2 is located in the chromosomal region 22q12 between the loci D22S1 and D22S28. We have performed genetic linkage analysis on 13 NF2 families with a total of nine polymorphic DNA markers, including five which we have recently mapped to this region. Two loci, D22S32 and NEFH, are linked to the NF2 locus at 0% recombination (lod scores of 6.03 and 4.28, respectively). By multipoint linkage analysis, we assign the NF2 gene to an interval of 7 cM, between the loci D22S212 and D22S28. We have used this set of nine markers to construct chromosome 22 haplotypes for the 82 at-risk individuals in this pedigree set. It has been possible to determine, with a high degree of certainty, the carrier status of 70 (85%) of these at-risk individuals. Risk prediction was possible in every case where DNA was available from both parents. Fifty-three of the 70 (76%) informative individuals were assigned decreased risks of being carriers. The use of chromosome 22 probes for risk assessment should result in a greatly reduced number of individuals who require periodic screening for NF2.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-19	2	_
1-5	20-21	(	_
1-6	21-24	NF2	_
1-7	24-25	)	_
1-9	26-28	is	_
1-11	29-30	a	_
1-13	31-41	dominantly	_
1-15	42-51	inherited	_
1-17	52-60	disorder	_
1-19	61-74	characterized	_
1-21	75-77	by	_
1-23	78-86	multiple	_
1-25	87-93	tumors	_
1-27	94-96	of	_
1-29	97-100	the	_
1-31	101-108	central	HPO[1]
1-33	109-116	nervous	_
1-35	117-123	system	_
1-36	123-124	,	_
1-38	125-138	predominantly	_
1-40	139-148	bilateral	HPO[2]
1-42	149-159	vestibular	_
1-44	160-171	schwannomas	HPO[3]
1-45	171-172	.	_
1-47	173-176	The	_
1-49	177-181	gene	_
1-51	182-185	for	_
1-53	186-189	NF2	_
1-55	190-192	is	_
1-57	193-200	located	_
1-59	201-203	in	_
1-61	204-207	the	_
1-63	208-219	chromosomal	_
1-65	220-226	region	_
1-67	227-232	22q12	_
1-69	233-240	between	_
1-71	241-244	the	_
1-73	245-249	loci	_
1-75	250-255	D22S1	_
1-77	256-259	and	_
1-79	260-266	D22S28	_
1-80	266-267	.	_
1-82	268-270	We	_
1-84	271-275	have	_
1-86	276-285	performed	_
1-88	286-293	genetic	_
1-90	294-301	linkage	_
1-92	302-310	analysis	_
1-94	311-313	on	_
1-96	314-316	13	_
1-98	317-320	NF2	_
1-100	321-329	families	_
1-102	330-334	with	_
1-104	335-336	a	_
1-106	337-342	total	_
1-108	343-345	of	_
1-110	346-350	nine	_
1-112	351-362	polymorphic	_
1-114	363-366	DNA	_
1-116	367-374	markers	_
1-117	374-375	,	_
1-119	376-385	including	_
1-121	386-390	five	_
1-123	391-396	which	_
1-125	397-399	we	_
1-127	400-404	have	_
1-129	405-413	recently	_
1-131	414-420	mapped	_
1-133	421-423	to	_
1-135	424-428	this	_
1-137	429-435	region	_
1-138	435-436	.	_
1-140	437-440	Two	_
1-142	441-445	loci	_
1-143	445-446	,	_
1-145	447-453	D22S32	_
1-147	454-457	and	_
1-149	458-462	NEFH	_
1-150	462-463	,	_
1-152	464-467	are	_
1-154	468-474	linked	_
1-156	475-477	to	_
1-158	478-481	the	_
1-160	482-485	NF2	_
1-162	486-491	locus	_
1-164	492-494	at	_
1-166	495-496	0	_
1-167	496-497	%	_
1-169	498-511	recombination	_
1-171	512-513	(	_
1-172	513-516	lod	_
1-174	517-523	scores	_
1-176	524-526	of	_
1-178	527-528	6	_
1-179	528-529	.	_
1-180	529-531	03	_
1-182	532-535	and	_
1-184	536-537	4	_
1-185	537-538	.	_
1-186	538-540	28	_
1-187	540-541	,	_
1-189	542-554	respectively	_
1-190	554-556	).	_
1-192	557-559	By	_
1-194	560-570	multipoint	_
1-196	571-578	linkage	_
1-198	579-587	analysis	_
1-199	587-588	,	_
1-201	589-591	we	_
1-203	592-598	assign	_
1-205	599-602	the	_
1-207	603-606	NF2	_
1-209	607-611	gene	_
1-211	612-614	to	_
1-213	615-617	an	_
1-215	618-626	interval	_
1-217	627-629	of	_
1-219	630-631	7	_
1-221	632-634	cM	_
1-222	634-635	,	_
1-224	636-643	between	_
1-226	644-647	the	_
1-228	648-652	loci	_
1-230	653-660	D22S212	_
1-232	661-664	and	_
1-234	665-671	D22S28	_
1-235	671-672	.	_
1-237	673-675	We	_
1-239	676-680	have	_
1-241	681-685	used	_
1-243	686-690	this	_
1-245	691-694	set	_
1-247	695-697	of	_
1-249	698-702	nine	_
1-251	703-710	markers	_
1-253	711-713	to	_
1-255	714-723	construct	_
1-257	724-734	chromosome	_
1-259	735-737	22	_
1-261	738-748	haplotypes	_
1-263	749-752	for	_
1-265	753-756	the	_
1-267	757-759	82	_
1-269	760-762	at	_
1-270	762-763	-	_
1-271	763-767	risk	_
1-273	768-779	individuals	_
1-275	780-782	in	_
1-277	783-787	this	_
1-279	788-796	pedigree	_
1-281	797-800	set	_
1-282	800-801	.	_
1-284	802-804	It	_
1-286	805-808	has	_
1-288	809-813	been	_
1-290	814-822	possible	_
1-292	823-825	to	_
1-294	826-835	determine	_
1-295	835-836	,	_
1-297	837-841	with	_
1-299	842-843	a	_
1-301	844-848	high	_
1-303	849-855	degree	_
1-305	856-858	of	_
1-307	859-868	certainty	_
1-308	868-869	,	_
1-310	870-873	the	_
1-312	874-881	carrier	_
1-314	882-888	status	_
1-316	889-891	of	_
1-318	892-894	70	_
1-320	895-896	(	_
1-321	896-898	85	_
1-322	898-900	%)	_
1-324	901-903	of	_
1-326	904-909	these	_
1-328	910-912	at	_
1-329	912-913	-	_
1-330	913-917	risk	_
1-332	918-929	individuals	_
1-333	929-930	.	_
1-335	931-935	Risk	_
1-337	936-946	prediction	_
1-339	947-950	was	_
1-341	951-959	possible	_
1-343	960-962	in	_
1-345	963-968	every	_
1-347	969-973	case	_
1-349	974-979	where	_
1-351	980-983	DNA	_
1-353	984-987	was	_
1-355	988-997	available	_
1-357	998-1002	from	_
1-359	1003-1007	both	_
1-361	1008-1015	parents	_
1-362	1015-1016	.	_
1-364	1017-1022	Fifty	_
1-365	1022-1023	-	_
1-366	1023-1028	three	_
1-368	1029-1031	of	_
1-370	1032-1035	the	_
1-372	1036-1038	70	_
1-374	1039-1040	(	_
1-375	1040-1042	76	_
1-376	1042-1044	%)	_
1-378	1045-1056	informative	_
1-380	1057-1068	individuals	_
1-382	1069-1073	were	_
1-384	1074-1082	assigned	_
1-386	1083-1092	decreased	_
1-388	1093-1098	risks	_
1-390	1099-1101	of	_
1-392	1102-1107	being	_
1-394	1108-1116	carriers	_
1-395	1116-1117	.	_
1-397	1118-1121	The	_
1-399	1122-1125	use	_
1-401	1126-1128	of	_
1-403	1129-1139	chromosome	_
1-405	1140-1142	22	_
1-407	1143-1149	probes	_
1-409	1150-1153	for	_
1-411	1154-1158	risk	_
1-413	1159-1169	assessment	_
1-415	1170-1176	should	_
1-417	1177-1183	result	_
1-419	1184-1186	in	_
1-421	1187-1188	a	_
1-423	1189-1196	greatly	_
1-425	1197-1204	reduced	_
1-427	1205-1211	number	_
1-429	1212-1214	of	_
1-431	1215-1226	individuals	_
1-433	1227-1230	who	_
1-435	1231-1238	require	_
1-437	1239-1247	periodic	HPO[4]
1-439	1248-1257	screening	_
1-441	1258-1261	for	_
1-443	1262-1265	NF2	_
1-444	1265-1266	.	_
