#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis 2 (NF2) features bilateral vestibular schwannomas, other benign neural tumors, and cataracts. Patients in some families develop many tumors at an early age and have rapid clinical progression, whereas in other families, patients may not have symptoms until much later and vestibular schwannomas may be the only tumors. The NF2 gene has been cloned from chromosome 22q; most identified germ-line mutations result in a truncated protein and severe NF2. To look for additional mutations and clinical correlations, we used SSCP analysis to screen DNA from 32 unrelated patients. We identified 20 different mutations in 21 patients (66%): 10 nonsense mutations, 2 frameshifts, 7 splice-site mutations, and 1 large in-frame deletion. Clinical information on 47 patients from the 21 families included ages at onset and at diagnosis, numbers of meningiomas, spinal and skin tumors, and presence of cataracts and retinal abnormalities. We compared clinical findings in patients with nonsense or frameshift mutations to those with splice-site mutations. When each patient was considered as an independent random event, the two groups differed (P < or = .05) for nearly every variable. Patients with nonsense or frameshift mutations were younger at onset and at diagnosis and had a higher frequency and mean number of tumors, supporting the correlation between nonsense and frameshift mutations and severe NF2. When each family was considered as an independent random event, statistically significant differences between the two groups were observed only for mean ages at onset and at diagnosis. A larger data set is needed to resolve these discrepancies. We observed retinal hamartomas and/or epiretinal membranes in nine patients from five families with four different nonsense mutations. This finding, which may represent a new genotype-phenotype correlation, merits further study.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-19	2	_
1-5	20-21	(	_
1-6	21-24	NF2	_
1-7	24-25	)	_
1-9	26-34	features	_
1-11	35-44	bilateral	HPO[1]
1-13	45-55	vestibular	_
1-15	56-67	schwannomas	HPO[2]
1-16	67-68	,	_
1-18	69-74	other	_
1-20	75-81	benign	_
1-22	82-88	neural	_
1-24	89-95	tumors	_
1-25	95-96	,	_
1-27	97-100	and	_
1-29	101-110	cataracts	HPO[3]
1-30	110-111	.	_
1-32	112-120	Patients	_
1-34	121-123	in	_
1-36	124-128	some	_
1-38	129-137	families	_
1-40	138-145	develop	_
1-42	146-150	many	_
1-44	151-157	tumors	_
1-46	158-160	at	_
1-48	161-163	an	_
1-50	164-169	early	_
1-52	170-173	age	_
1-54	174-177	and	_
1-56	178-182	have	_
1-58	183-188	rapid	_
1-60	189-197	clinical	_
1-62	198-209	progression	_
1-63	209-210	,	_
1-65	211-218	whereas	_
1-67	219-221	in	_
1-69	222-227	other	_
1-71	228-236	families	_
1-72	236-237	,	_
1-74	238-246	patients	_
1-76	247-250	may	_
1-78	251-254	not	_
1-80	255-259	have	_
1-82	260-268	symptoms	_
1-84	269-274	until	_
1-86	275-279	much	_
1-88	280-285	later	_
1-90	286-289	and	_
1-92	290-300	vestibular	_
1-94	301-312	schwannomas	HPO[4]
1-96	313-316	may	_
1-98	317-319	be	_
1-100	320-323	the	_
1-102	324-328	only	_
1-104	329-335	tumors	_
1-105	335-336	.	_
1-107	337-340	The	_
1-109	341-344	NF2	_
1-111	345-349	gene	_
1-113	350-353	has	_
1-115	354-358	been	_
1-117	359-365	cloned	_
1-119	366-370	from	_
1-121	371-381	chromosome	_
1-123	382-385	22q	_
1-124	385-386	;	_
1-126	387-391	most	_
1-128	392-402	identified	_
1-130	403-407	germ	_
1-131	407-408	-	_
1-132	408-412	line	_
1-134	413-422	mutations	_
1-136	423-429	result	_
1-138	430-432	in	_
1-140	433-434	a	_
1-142	435-444	truncated	_
1-144	445-452	protein	_
1-146	453-456	and	_
1-148	457-463	severe	HPO[5]
1-150	464-467	NF2	_
1-151	467-468	.	_
1-153	469-471	To	_
1-155	472-476	look	_
1-157	477-480	for	_
1-159	481-491	additional	_
1-161	492-501	mutations	_
1-163	502-505	and	_
1-165	506-514	clinical	_
1-167	515-527	correlations	_
1-168	527-528	,	_
1-170	529-531	we	_
1-172	532-536	used	_
1-174	537-541	SSCP	_
1-176	542-550	analysis	_
1-178	551-553	to	_
1-180	554-560	screen	_
1-182	561-564	DNA	_
1-184	565-569	from	_
1-186	570-572	32	_
1-188	573-582	unrelated	_
1-190	583-591	patients	_
1-191	591-592	.	_
1-193	593-595	We	_
1-195	596-606	identified	_
1-197	607-609	20	_
1-199	610-619	different	_
1-201	620-629	mutations	_
1-203	630-632	in	_
1-205	633-635	21	_
1-207	636-644	patients	_
1-209	645-646	(	_
1-210	646-648	66	_
1-211	648-651	%):	_
1-213	652-654	10	_
1-215	655-663	nonsense	_
1-217	664-673	mutations	_
1-218	673-674	,	_
1-220	675-676	2	_
1-222	677-688	frameshifts	_
1-223	688-689	,	_
1-225	690-691	7	_
1-227	692-698	splice	_
1-228	698-699	-	_
1-229	699-703	site	_
1-231	704-713	mutations	_
1-232	713-714	,	_
1-234	715-718	and	_
1-236	719-720	1	_
1-238	721-726	large	_
1-240	727-729	in	_
1-241	729-730	-	_
1-242	730-735	frame	_
1-244	736-744	deletion	_
1-245	744-745	.	_
1-247	746-754	Clinical	_
1-249	755-766	information	_
1-251	767-769	on	_
1-253	770-772	47	_
1-255	773-781	patients	_
1-257	782-786	from	_
1-259	787-790	the	_
1-261	791-793	21	_
1-263	794-802	families	_
1-265	803-811	included	_
1-267	812-816	ages	_
1-269	817-819	at	_
1-271	820-825	onset	HPO[6]
1-273	826-829	and	_
1-275	830-832	at	_
1-277	833-842	diagnosis	_
1-278	842-843	,	_
1-280	844-851	numbers	_
1-282	852-854	of	_
1-284	855-866	meningiomas	_
1-285	866-867	,	_
1-287	868-874	spinal	_
1-289	875-878	and	_
1-291	879-883	skin	HPO[7]
1-293	884-890	tumors	HPO[7]
1-294	890-891	,	_
1-296	892-895	and	_
1-298	896-904	presence	_
1-300	905-907	of	_
1-302	908-917	cataracts	HPO[8]
1-304	918-921	and	_
1-306	922-929	retinal	_
1-308	930-943	abnormalities	_
1-309	943-944	.	_
1-311	945-947	We	_
1-313	948-956	compared	_
1-315	957-965	clinical	_
1-317	966-974	findings	_
1-319	975-977	in	_
1-321	978-986	patients	_
1-323	987-991	with	_
1-325	992-1000	nonsense	_
1-327	1001-1003	or	_
1-329	1004-1014	frameshift	_
1-331	1015-1024	mutations	_
1-333	1025-1027	to	_
1-335	1028-1033	those	_
1-337	1034-1038	with	_
1-339	1039-1045	splice	_
1-340	1045-1046	-	_
1-341	1046-1050	site	_
1-343	1051-1060	mutations	_
1-344	1060-1061	.	_
1-346	1062-1066	When	_
1-348	1067-1071	each	_
1-350	1072-1079	patient	_
1-352	1080-1083	was	_
1-354	1084-1094	considered	_
1-356	1095-1097	as	_
1-358	1098-1100	an	_
1-360	1101-1112	independent	_
1-362	1113-1119	random	_
1-364	1120-1125	event	_
1-365	1125-1126	,	_
1-367	1127-1130	the	_
1-369	1131-1134	two	_
1-371	1135-1141	groups	_
1-373	1142-1150	differed	_
1-375	1151-1152	(	_
1-376	1152-1153	P	_
1-378	1154-1155	<	_
1-380	1156-1158	or	_
1-382	1159-1160	=	_
1-384	1161-1162	.	_
1-385	1162-1164	05	_
1-386	1164-1165	)	_
1-388	1166-1169	for	_
1-390	1170-1176	nearly	_
1-392	1177-1182	every	_
1-394	1183-1191	variable	_
1-395	1191-1192	.	_
1-397	1193-1201	Patients	_
1-399	1202-1206	with	_
1-401	1207-1215	nonsense	_
1-403	1216-1218	or	_
1-405	1219-1229	frameshift	_
1-407	1230-1239	mutations	_
1-409	1240-1244	were	_
1-411	1245-1252	younger	_
1-413	1253-1255	at	_
1-415	1256-1261	onset	HPO[9]
1-417	1262-1265	and	_
1-419	1266-1268	at	_
