#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Brachydactyly type C is an autosomal dominant disorder characterized by abnormal segmentation of the index and middle fingers segregating with a high degree of variable expression in members of the same family. We have followed up and studied members of the large kindred segregating with the brachydactyly type C phenotype described by Virgil Haws in 1963, and using genetic linkage analysis, we localized the susceptibility gene to human chromosome 12q24.
1-1	0-13	Brachydactyly	HPO[0]
1-3	14-18	type	_
1-5	19-20	C	_
1-7	21-23	is	_
1-9	24-26	an	_
1-11	27-36	autosomal	HPO[1]
1-13	37-45	dominant	HPO[1]
1-15	46-54	disorder	_
1-17	55-68	characterized	_
1-19	69-71	by	_
1-21	72-80	abnormal	_
1-23	81-93	segmentation	_
1-25	94-96	of	_
1-27	97-100	the	_
1-29	101-106	index	_
1-31	107-110	and	_
1-33	111-117	middle	_
1-35	118-125	fingers	_
1-37	126-137	segregating	_
1-39	138-142	with	_
1-41	143-144	a	_
1-43	145-149	high	_
1-45	150-156	degree	_
1-47	157-159	of	_
1-49	160-168	variable	_
1-51	169-179	expression	_
1-53	180-182	in	_
1-55	183-190	members	_
1-57	191-193	of	_
1-59	194-197	the	_
1-61	198-202	same	_
1-63	203-209	family	_
1-64	209-210	.	_
1-66	211-213	We	_
1-68	214-218	have	_
1-70	219-227	followed	_
1-72	228-230	up	_
1-74	231-234	and	_
1-76	235-242	studied	_
1-78	243-250	members	_
1-80	251-253	of	_
1-82	254-257	the	_
1-84	258-263	large	_
1-86	264-271	kindred	_
1-88	272-283	segregating	_
1-90	284-288	with	_
1-92	289-292	the	_
1-94	293-306	brachydactyly	HPO[2]
1-96	307-311	type	_
1-98	312-313	C	_
1-100	314-323	phenotype	_
1-102	324-333	described	_
1-104	334-336	by	_
1-106	337-343	Virgil	_
1-108	344-348	Haws	_
1-110	349-351	in	_
1-112	352-356	1963	_
1-113	356-357	,	_
1-115	358-361	and	_
1-117	362-367	using	_
1-119	368-375	genetic	_
1-121	376-383	linkage	_
1-123	384-392	analysis	_
1-124	392-393	,	_
1-126	394-396	we	_
1-128	397-406	localized	HPO[3]
1-130	407-410	the	_
1-132	411-425	susceptibility	_
1-134	426-430	gene	_
1-136	431-433	to	_
1-138	434-439	human	_
1-140	440-450	chromosome	_
1-142	451-456	12q24	_
1-143	456-457	.	_
