#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Distal arthrogryposis type 1 (DA1) and Freeman-Sheldon syndrome (FSS) are the two most common known causes of inherited multiple congenital contractures. We recently have characterized a new disorder (DA2B) with a phenotype intermediate between DA1 and FSS. We report the mapping of a gene that causes DA2B to chromosome 11p15.5-pter. Linkage analysis in a single kindred generated a positive LOD score of 5.31 at theta = 0 with the marker D11S922, and recombinants localize the gene to an approximately 3.5-6.5-cM region between the marker TH and the telomere. Analysis of additional families improves the LOD score to 6.45 at theta = 0 and suggests linkage homogeneity for DA2B.
1-1	0-6	Distal	HPO[0]|HPO[1]
1-3	7-21	arthrogryposis	HPO[1]|HPO[2]
1-5	22-26	type	_
1-7	27-28	1	_
1-9	29-30	(	_
1-10	30-33	DA1	_
1-11	33-34	)	_
1-13	35-38	and	_
1-15	39-46	Freeman	_
1-16	46-47	-	_
1-17	47-54	Sheldon	_
1-19	55-63	syndrome	_
1-21	64-65	(	_
1-22	65-68	FSS	_
1-23	68-69	)	_
1-25	70-73	are	_
1-27	74-77	the	_
1-29	78-81	two	_
1-31	82-86	most	_
1-33	87-93	common	_
1-35	94-99	known	_
1-37	100-106	causes	_
1-39	107-109	of	_
1-41	110-119	inherited	_
1-43	120-128	multiple	HPO[3]
1-45	129-139	congenital	HPO[3]|HPO[4]
1-47	140-152	contractures	HPO[3]|HPO[4]|HPO[5]
1-48	152-153	.	_
1-50	154-156	We	_
1-52	157-165	recently	_
1-54	166-170	have	_
1-56	171-184	characterized	_
1-58	185-186	a	_
1-60	187-190	new	_
1-62	191-199	disorder	_
1-64	200-201	(	_
1-65	201-205	DA2B	_
1-66	205-206	)	_
1-68	207-211	with	_
1-70	212-213	a	_
1-72	214-223	phenotype	_
1-74	224-236	intermediate	_
1-76	237-244	between	_
1-78	245-248	DA1	_
1-80	249-252	and	_
1-82	253-256	FSS	_
1-83	256-257	.	_
1-85	258-260	We	_
1-87	261-267	report	_
1-89	268-271	the	_
1-91	272-279	mapping	_
1-93	280-282	of	_
1-95	283-284	a	_
1-97	285-289	gene	_
1-99	290-294	that	_
1-101	295-301	causes	_
1-103	302-306	DA2B	_
1-105	307-309	to	_
1-107	310-320	chromosome	_
1-109	321-326	11p15	_
1-110	326-327	.	_
1-111	327-328	5	_
1-112	328-329	-	_
1-113	329-333	pter	_
1-114	333-334	.	_
1-116	335-342	Linkage	_
1-118	343-351	analysis	_
1-120	352-354	in	_
1-122	355-356	a	_
1-124	357-363	single	_
1-126	364-371	kindred	_
1-128	372-381	generated	_
1-130	382-383	a	_
1-132	384-392	positive	_
1-134	393-396	LOD	_
1-136	397-402	score	_
1-138	403-405	of	_
1-140	406-407	5	_
1-141	407-408	.	_
1-142	408-410	31	_
1-144	411-413	at	_
1-146	414-419	theta	_
1-148	420-421	=	_
1-150	422-423	0	_
1-152	424-428	with	_
1-154	429-432	the	_
1-156	433-439	marker	_
1-158	440-447	D11S922	_
1-159	447-448	,	_
1-161	449-452	and	_
1-163	453-465	recombinants	_
1-165	466-474	localize	_
1-167	475-478	the	_
1-169	479-483	gene	_
1-171	484-486	to	_
1-173	487-489	an	_
1-175	490-503	approximately	_
1-177	504-505	3	_
1-178	505-506	.	_
1-179	506-507	5	_
1-180	507-508	-	_
1-181	508-509	6	_
1-182	509-510	.	_
1-183	510-511	5	_
1-184	511-512	-	_
1-185	512-514	cM	_
1-187	515-521	region	_
1-189	522-529	between	_
1-191	530-533	the	_
1-193	534-540	marker	_
1-195	541-543	TH	_
1-197	544-547	and	_
1-199	548-551	the	_
1-201	552-560	telomere	_
1-202	560-561	.	_
1-204	562-570	Analysis	_
1-206	571-573	of	_
1-208	574-584	additional	_
1-210	585-593	families	_
1-212	594-602	improves	_
1-214	603-606	the	_
1-216	607-610	LOD	_
1-218	611-616	score	_
1-220	617-619	to	_
1-222	620-621	6	_
1-223	621-622	.	_
1-224	622-624	45	_
1-226	625-627	at	_
1-228	628-633	theta	_
1-230	634-635	=	_
1-232	636-637	0	_
1-234	638-641	and	_
1-236	642-650	suggests	_
1-238	651-658	linkage	_
1-240	659-670	homogeneity	_
1-242	671-674	for	_
1-244	675-679	DA2B	_
1-245	679-680	.	_
