#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Brachydactyly type C is characterized by shortness of the second and fifth middle phalanges and the first metacarpal. It is inherited as an autosomal dominant trait, and is noted for its widely variable clinical phenotype both within and between families. In most families involvement is limited to the hands. However, in some families additional skeletal and non-skeletal findings have been reported. We report on 12 affected members from a 5 generation kindred that segregates a brachydactyly type C phenotype. All affected individuals had shortness principally affecting the second and fifth phalanges and first metacarpal. However, the metacarpal-phalangeal profile indicated that other digital elements were short as well. In addition, one affected individual had a bilateral Madelung deformity, but none had foot involvement. No other non-skeletal findings cosegregated with brachydactyly in this family. Recently, a gene for brachydactyly type C has been localized to 12q24. This was done by studying a large kindred first reported by Haws [1963], which manifests both hand and foot anomalies. Here we present linkage data which excludes the 12q24 locus in our kindred, indicating locus heterogeneity as one explanation for the interfamilial variability described in brachydactyly type C.
1-1	0-13	Brachydactyly	HPO[0]
1-3	14-18	type	_
1-5	19-20	C	_
1-7	21-23	is	_
1-9	24-37	characterized	_
1-11	38-40	by	_
1-13	41-50	shortness	_
1-15	51-53	of	_
1-17	54-57	the	_
1-19	58-64	second	_
1-21	65-68	and	_
1-23	69-74	fifth	_
1-25	75-81	middle	_
1-27	82-91	phalanges	_
1-29	92-95	and	_
1-31	96-99	the	_
1-33	100-105	first	_
1-35	106-116	metacarpal	_
1-36	116-117	.	_
1-38	118-120	It	_
1-40	121-123	is	_
1-42	124-133	inherited	_
1-44	134-136	as	_
1-46	137-139	an	_
1-48	140-149	autosomal	HPO[1]
1-50	150-158	dominant	HPO[1]
1-52	159-164	trait	_
1-53	164-165	,	_
1-55	166-169	and	_
1-57	170-172	is	_
1-59	173-178	noted	_
1-61	179-182	for	_
1-63	183-186	its	_
1-65	187-193	widely	_
1-67	194-202	variable	_
1-69	203-211	clinical	_
1-71	212-221	phenotype	_
1-73	222-226	both	_
1-75	227-233	within	_
1-77	234-237	and	_
1-79	238-245	between	_
1-81	246-254	families	_
1-82	254-255	.	_
1-84	256-258	In	_
1-86	259-263	most	_
1-88	264-272	families	_
1-90	273-284	involvement	_
1-92	285-287	is	_
1-94	288-295	limited	_
1-96	296-298	to	_
1-98	299-302	the	_
1-100	303-308	hands	_
1-101	308-309	.	_
1-103	310-317	However	_
1-104	317-318	,	_
1-106	319-321	in	_
1-108	322-326	some	_
1-110	327-335	families	_
1-112	336-346	additional	_
1-114	347-355	skeletal	_
1-116	356-359	and	_
1-118	360-363	non	_
1-119	363-364	-	_
1-120	364-372	skeletal	_
1-122	373-381	findings	_
1-124	382-386	have	_
1-126	387-391	been	_
1-128	392-400	reported	_
1-129	400-401	.	_
1-131	402-404	We	_
1-133	405-411	report	_
1-135	412-414	on	_
1-137	415-417	12	_
1-139	418-426	affected	_
1-141	427-434	members	_
1-143	435-439	from	_
1-145	440-441	a	_
1-147	442-443	5	_
1-149	444-454	generation	_
1-151	455-462	kindred	_
1-153	463-467	that	_
1-155	468-478	segregates	_
1-157	479-480	a	_
1-159	481-494	brachydactyly	HPO[2]
1-161	495-499	type	_
1-163	500-501	C	_
1-165	502-511	phenotype	_
1-166	511-512	.	_
1-168	513-516	All	_
1-170	517-525	affected	_
1-172	526-537	individuals	_
1-174	538-541	had	_
1-176	542-551	shortness	_
1-178	552-563	principally	_
1-180	564-573	affecting	_
1-182	574-577	the	_
1-184	578-584	second	_
1-186	585-588	and	_
1-188	589-594	fifth	_
1-190	595-604	phalanges	_
1-192	605-608	and	_
1-194	609-614	first	_
1-196	615-625	metacarpal	_
1-197	625-626	.	_
1-199	627-634	However	_
1-200	634-635	,	_
1-202	636-639	the	_
1-204	640-650	metacarpal	_
1-205	650-651	-	_
