#FORMAT=WebAnno TSV 3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value


#Text=Neurofibromatosis 1 and neurofibromatosis 2 are autosomal dominant genetic disorders in which affected individuals develop both benign and malignant tumors at an increased frequency. Since the original National Institutes of Health Consensus Development Conference in 1987, there has been significant progress toward a more complete understanding of the molecular bases for neurofibromatosis 1 and neurofibromatosis 2. Our objective was to determine the diagnostic criteria for neurofibromatosis 1 and neurofibromatosis 2, recommendations for the care of patients and their families at diagnosis and during routine follow-up, and the role of DNA diagnostic testing in the evaluation of these disorders.  Published reports from 1966 through 1996 obtained by MEDLINE search and studies presented at national and international meetings.  All studies were reviewed and analyzed by consensus from multiple authors.  Peer-reviewed published data were critically evaluated by independent extraction by multiple authors.  The main results of the review were qualitative and were reviewed by neurofibromatosis clinical directors worldwide through an Internet Web site.  On the basis of the information presented in this review, we propose a comprehensive approach to the diagnosis and treatment of individuals with neurofibromatosis 1 and neurofibromatosis 2.
1-1	0-17	Neurofibromatosis	HPO[0]
1-3	18-19	1	_
1-5	20-23	and	_
1-7	24-41	neurofibromatosis	HPO[1]
1-9	42-43	2	_
1-11	44-47	are	_
1-13	48-57	autosomal	HPO[2]
1-15	58-66	dominant	HPO[2]
1-17	67-74	genetic	_
1-19	75-84	disorders	_
1-21	85-87	in	_
1-23	88-93	which	_
1-25	94-102	affected	_
1-27	103-114	individuals	_
1-29	115-122	develop	_
1-31	123-127	both	_
1-33	128-134	benign	_
1-35	135-138	and	_
1-37	139-148	malignant	_
1-39	149-155	tumors	_
1-41	156-158	at	_
1-43	159-161	an	_
1-45	162-171	increased	_
1-47	172-181	frequency	HPO[3]
1-48	181-182	.	_
1-50	183-188	Since	_
1-52	189-192	the	_
1-54	193-201	original	_
1-56	202-210	National	_
1-58	211-221	Institutes	_
1-60	222-224	of	_
1-62	225-231	Health	_
1-64	232-241	Consensus	_
1-66	242-253	Development	_
1-68	254-264	Conference	_
1-70	265-267	in	_
1-72	268-272	1987	_
1-73	272-273	,	_
1-75	274-279	there	_
1-77	280-283	has	_
1-79	284-288	been	_
1-81	289-300	significant	_
1-83	301-309	progress	_
1-85	310-316	toward	_
1-87	317-318	a	_
1-89	319-323	more	_
1-91	324-332	complete	_
1-93	333-346	understanding	_
1-95	347-349	of	_
1-97	350-353	the	_
1-99	354-363	molecular	_
1-101	364-369	bases	_
1-103	370-373	for	_
1-105	374-391	neurofibromatosis	HPO[4]
1-107	392-393	1	_
1-109	394-397	and	_
1-111	398-415	neurofibromatosis	HPO[5]
1-113	416-417	2	_
1-114	417-418	.	_
1-116	419-422	Our	_
1-118	423-432	objective	_
1-120	433-436	was	_
1-122	437-439	to	_
1-124	440-449	determine	_
1-126	450-453	the	_
1-128	454-464	diagnostic	_
1-130	465-473	criteria	_
1-132	474-477	for	_
1-134	478-495	neurofibromatosis	HPO[6]
1-136	496-497	1	_
1-138	498-501	and	_
1-140	502-519	neurofibromatosis	HPO[7]
1-142	520-521	2	_
1-143	521-522	,	_
1-145	523-538	recommendations	_
1-147	539-542	for	_
1-149	543-546	the	_
1-151	547-551	care	_
1-153	552-554	of	_
1-155	555-563	patients	_
1-157	564-567	and	_
1-159	568-573	their	_
1-161	574-582	families	_
1-163	583-585	at	_
1-165	586-595	diagnosis	_
1-167	596-599	and	_
1-169	600-606	during	_
1-171	607-614	routine	_
1-173	615-621	follow	_
1-174	621-622	-	_
1-175	622-624	up	_
1-176	624-625	,	_
1-178	626-629	and	_
1-180	630-633	the	_
1-182	634-638	role	_
1-184	639-641	of	_
1-186	642-645	DNA	_
1-188	646-656	diagnostic	_
1-190	657-664	testing	_
1-192	665-667	in	_
1-194	668-671	the	_
1-196	672-682	evaluation	_
1-198	683-685	of	_
1-200	686-691	these	_
1-202	692-701	disorders	_
1-203	701-702	.	_
1-204	702-704	  	_
1-205	704-713	Published	_
1-207	714-721	reports	_
1-209	722-726	from	_
1-211	727-731	1966	_
1-213	732-739	through	_
1-215	740-744	1996	_
1-217	745-753	obtained	_
1-219	754-756	by	_
1-221	757-764	MEDLINE	_
1-223	765-771	search	_
1-225	772-775	and	_
1-227	776-783	studies	_
1-229	784-793	presented	_
1-231	794-796	at	_
1-233	797-805	national	_
1-235	806-809	and	_
1-237	810-823	international	_
1-239	824-832	meetings	_
1-240	832-833	.	_
1-241	833-835	  	_
1-242	835-838	All	_
1-244	839-846	studies	_
1-246	847-851	were	_
1-248	852-860	reviewed	_
1-250	861-864	and	_
1-252	865-873	analyzed	_
1-254	874-876	by	_
1-256	877-886	consensus	_
1-258	887-891	from	_
1-260	892-900	multiple	_
1-262	901-908	authors	_
1-263	908-909	.	_
1-264	909-911	  	_
1-265	911-915	Peer	_
1-266	915-916	-	_
1-267	916-924	reviewed	_
1-269	925-934	published	_
1-271	935-939	data	_
1-273	940-944	were	_
1-275	945-955	critically	_
1-277	956-965	evaluated	_
1-279	966-968	by	_
1-281	969-980	independent	_
1-283	981-991	extraction	_
1-285	992-994	by	_
1-287	995-1003	multiple	_
1-289	1004-1011	authors	_
1-290	1011-1012	.	_
1-291	1012-1014	  	_
1-292	1014-1017	The	_
1-294	1018-1022	main	_
1-296	1023-1030	results	_
1-298	1031-1033	of	_
1-300	1034-1037	the	_
1-302	1038-1044	review	_
1-304	1045-1049	were	_
1-306	1050-1061	qualitative	_
1-308	1062-1065	and	_
1-310	1066-1070	were	_
1-312	1071-1079	reviewed	_
1-314	1080-1082	by	HPO[8]
1-316	1083-1100	neurofibromatosis	_
1-318	1101-1109	clinical	_
1-320	1110-1119	directors	_
1-322	1120-1129	worldwide	_
1-324	1130-1137	through	_
1-326	1138-1140	an	_
1-328	1141-1149	Internet	_
1-330	1150-1153	Web	_
1-332	1154-1158	site	_
1-333	1158-1159	.	_
1-334	1159-1161	  	_
1-335	1161-1163	On	_
1-337	1164-1167	the	_
1-339	1168-1173	basis	_
1-341	1174-1176	of	_
1-343	1177-1180	the	_
1-345	1181-1192	information	_
1-347	1193-1202	presented	_
1-349	1203-1205	in	_
1-351	1206-1210	this	_
1-353	1211-1217	review	_
1-354	1217-1218	,	_
1-356	1219-1221	we	_
1-358	1222-1229	propose	_
1-360	1230-1231	a	_
1-362	1232-1245	comprehensive	_
1-364	1246-1254	approach	_
1-366	1255-1257	to	_
1-368	1258-1261	the	_
1-370	1262-1271	diagnosis	_
1-372	1272-1275	and	_
1-374	1276-1285	treatment	_
1-376	1286-1288	of	_
1-378	1289-1300	individuals	_
1-380	1301-1305	with	HPO[9]
1-382	1306-1323	neurofibromatosis	_
1-384	1324-1325	1	_
1-386	1326-1329	and	HPO[10]
1-388	1330-1347	neurofibromatosis	_
1-390	1348-1349	2	_
1-391	1349-1350	.	_
